departure_iata,arrival_iata,airline_iata
NNG,PEK,VN
CDG,SGN,VN
DAD,SGN,VN
SGN,DAD,VN
SGN,CDG,VN
HPH,SGN,VN
SGN,HPH,VN
VCA,HAN,VN
HAN,VCA,VN
PQC,HAN,VN
HAN,PQC,VN
SGN,VII,VN
VII,SGN,VN
SGN,THD,VN
THD,SGN,VN
SGN,CXR,VN
CXR,SGN,VN
SGN,HUI,VN
HUI,SGN,VN
SGN,DLI,VN
DLI,SGN,VN
SGN,UIH,VN
UIH,SGN,VN
SGN,VDH,VN
VDH,SGN,VN
SGN,BMV,VN
BMV,SGN,VN
SGN,PXU,VN
PXU,SGN,VN
DAD,HAN,VN
HUI,HAN,VN
HAN,HUI,VN
HAN,DAD,VN
CXR,HAN,VN
HAN,CXR,VN
DLI,HAN,VN
HAN,DLI,VN
CXR,HPH,VN
HPH,CXR,VN
VDH,HAN,VN
HAN,VDH,VN
BMV,HAN,VN
HAN,BMV,VN
PXU,HAN,VN
HAN,PXU,VN
UIH,HAN,VN
HAN,UIH,VN
VCL,HAN,VN
HAN,VCL,VN
DAD,HPH,VN
HPH,DAD,VN
VII,HAN,VN
HAN,VII,VN
CDG,HAN,VN
PQC,SGN,VN
SGN,PQC,VN
HAN,CDG,VN
PXU,DAD,VN
DAD,PXU,VN
BMV,DAD,VN
DAD,BMV,VN
CXR,DAD,VN
DAD,CXR,VN
DLI,DAD,VN
DAD,DLI,VN
SGN,HAN,VN
HAN,SGN,VN
FRA,SGN,VN
SGN,NRT,VN
NRT,SGN,VN
DFW,ATL,VN
SGN,FRA,VN
HAN,NRT,VN
NRT,HAN,VN
DAD,NRT,VN
NRT,DAD,VN
SGN,KIX,VN
KIX,SGN,VN
HAN,KIX,VN
KIX,HAN,VN
SGN,NGO,VN
NGO,SGN,VN
HAN,NGO,VN
NGO,HAN,VN
SGN,FUK,VN
FUK,SGN,VN
HAN,FUK,VN
FUK,HAN,VN
FRA,HAN,VN
HAN,FRA,VN
HAN,HND,VN
HND,HAN,VN
SGN,ICN,VN
ICN,SGN,VN
HAN,ICN,VN
