age_fleet,airline_id,callsign,code_hub,code_iata_airline,code_icao_airline,code_iso2_country,iata_prefix_accounting,name_airline,name_country,size_airline,status_airline,type
6.1,15,EMIRATES,DXB,EK,UAE,AE,176.0,Emirates,United Arab Emirates,249,active,scheduled
5.8,40,ETIHAD,AUH,EY,ETD,AE,607.0,Etihad Airways,United Arab Emirates,126,active,scheduled
3.6,113,SKYDUBAI,DXB,FZ,FDB,AE,141.0,flydubai,United Arab Emirates,50,active,scheduled
2.9,149,ARABIA,SHJ,G9,ABY,AE,514.0,Air Arabia,United Arab Emirates,36,active,scheduled
12.2,569,ROTANA,AUH,RG,RJD,AE,482.0,Rotana Jet Aviation dba Rotana Jet,United Arab Emirates,4,active,scheduled
0.0,1134,UNICARGO,SHJ,6U,UQA,AE,,Unique Air,United Arab Emirates,0,active,cargo
0.0,1514,Unknown,SHJ,C4,CGK,AE,,Click Airways,United Arab Emirates,0,active,cargo
0.0,1965,Unknown,FJR,GL*,,AE,914.0,AirGlow Aviation Services,United Arab Emirates,0,active,cargo
0.0,2054,HEAVYLIFT INTERNATIONAL,RKT,HC,HVL,AE,310.0,Heavylift International,United Arab Emirates,0,active,cargo
0.0,2260,OPS-JET,DCG,J6,OPS,AE,,Jet Ops,United Arab Emirates,0,active,"charter,virtual"
0.0,2616,MIDEX CARGO,SHJ,MG,MIX,AE,791.0,Midex Airlines,United Arab Emirates,0,active,"scheduled,cargo"
0.0,2640,SULTAN,UNKNOWN,MO*,AUH,AE,,Abu Dhabi Amiri Flight,United Arab Emirates,0,active,Unknown
0.0,3082,RELIABLE,SHJ,R4,RLB,AE,827.0,RUS Aviation,United Arab Emirates,0,active,cargo
16.0,3990,DUBAI,DXB,,DUB,AE,,Dubai Air Wing / Royal Flight,United Arab Emirates,11,active,government
14.2,4017,ROYALJET,AUH,,ROJ,AE,,Royal Jet,United Arab Emirates,7,active,charter
1.4,4042,FALCON AVIATION,AZI,,FVS,AE,,Falcon Aviation Services,United Arab Emirates,4,active,charter
27.6,4093,Unknown,DXB,,GBG,AE,,Global Jet,United Arab Emirates,2,active,charter
5.9,4094,Unknown,UNKNOWN,,JBA,AE,,Al Jaber Aviation,United Arab Emirates,2,active,Unknown
6.5,4096,EMJET,DXB,,MJE,AE,,Empire Aviation Group,United Arab Emirates,2,active,private
34.6,4147,FLYING DOLPYHINS,DXB,,FDN,AE,,Dolphin Air,United Arab Emirates,1,active,charter
4.7,4181,RIZON JET,DOH,,RZJ,AE,,Rizon Jet,United Arab Emirates,1,active,private
0.0,4893,Unknown,AUH,,AUH,AE,,Presidential Flight Authority,United Arab Emirates,0,active,government
0.0,5003,Unknown,AUH,,AXU,AE,,Abu Dhabi Aviation,United Arab Emirates,0,active,charter
0.0,6268,DANAJET,UNKNOWN,,DEJ,AE,,Dana Executive Jets,United Arab Emirates,0,active,Unknown
0.0,6602,MIDJET,DWC,,EJO,AE,,Execujet Middle East,United Arab Emirates,0,active,private
0.0,6733,EASTERN SKYJETS,DXB,,ESJ,AE,,Eastern Skyjets,United Arab Emirates,0,active,"scheduled,charter"
0.0,6921,FALCON CARGO,DXB,,FCX,AE,,Falcon Express Cargo,United Arab Emirates,0,active,cargo
0.0,7098,Unknown,SHJ,,FNV,AE,,Transavia Service,United Arab Emirates,0,active,charter
0.0,7116,Unknown,UNKNOWN,,FOW,AE,,Fliteport,United Arab Emirates,0,active,Unknown
