g_m_t,airport_id,iata_code,city_iata,icao_code,geoname_id,latitude,longitude,airport_name,country
4.30,727,BIN,BIN,OABN,7668387.0,34.80417,67.82361,Bamiyan,Afghanistan
4.30,962,BST,BST,OABT,0.0,31.55,64.36667,Bost,Afghanistan
4.30,1186,CCN,CCN,OACC,7668388.0,34.533333,65.26667,Chakcharan,Afghanistan
4.30,1704,DAZ,DAZ,OADZ,7730737.0,38.466667,70.88333,Darwaz,Afghanistan
4.30,1965,DWR,DWR,,0.0,0.0,0.0,Dwyer Air Base,Afghanistan
4.30,2251,FAH,FAH,OAFR,1454265.0,32.36667,62.11667,Farah,Afghanistan
4.30,2266,FBD,FBD,OAFZ,6300000.0,37.1,70.566666,Faizabad,Afghanistan
4.30,2722,GRG,GRG,,8299251.0,33.61667,69.11667,Gardez,Afghanistan
4.30,2834,GZI,GZI,,1141269.0,33.0,68.416664,Ghazni,Afghanistan
4.30,2897,HEA,HEA,OAHR,0.0,34.212696,62.22599,Herat,Afghanistan
4.30,3430,JAA,JAA,OAJL,1453109.0,34.433334,70.46667,Jalalabad,Afghanistan
4.30,3699,KBL,KBL,OAKB,1454002.0,34.56069,69.21152,Khwaja Rawash,Afghanistan
4.30,3741,KDH,KDH,OAKN,0.0,31.506945,65.8475,Kandahar,Afghanistan
4.30,3828,KHT,KHT,,0.0,35.0,72.0,Khost,Afghanistan
4.30,4094,KUR,KUR,,8299086.0,38.4,71.11667,Kuran-O-Munjan,Afghanistan
4.30,4120,KWH,KWH,OAHN,7730738.0,33.916668,66.333336,Khwahan,Afghanistan
4.30,4489,LQN,LQN,OAQN,7668389.0,34.95,63.666668,Qala Nau,Afghanistan
4.30,4969,MMZ,MMZ,OAMN,0.0,35.916668,64.73333,Maimana,Afghanistan
4.30,5282,MZR,MZR,OAMS,6252379.0,36.70919,67.20849,Mazar-i-sharif,Afghanistan
4.30,5626,OAA,OAA,,0.0,0.0,0.0,Shank Air Base,Afghanistan
4.30,5628,OAH,OAH,,0.0,0.0,0.0,Shindand Air Base,Afghanistan
4.30,5629,OAI,OAI,OAIX,0.0,34.959614,69.27051,Bagram,Afghanistan
4.30,5636,OAS,OAS,,8298993.0,33.1258,68.8386,Sharana Air Base,Afghanistan
4.30,5638,OAZ,OAZ,OAZJ,0.0,31.1,61.983334,Camp Bastion,Afghanistan
4.30,5759,OLR,OLR,,0.0,34.023167,36.130333,Salerno Air Base,Afghanistan
4.30,6937,SBF,SBF,OADS,1127289.0,33.61667,68.53333,Sardeh Band,Afghanistan
4.30,7048,SGA,SGA,OASN,7730739.0,38.033333,71.71667,Sheghnan,Afghanistan
4.30,7709,TII,TII,OATN,0.0,32.86667,65.63333,Tirinkot,Afghanistan
4.30,7887,TQN,TQN,OATQ,8298749.0,36.766666,69.53333,Taluqan,Afghanistan
4.30,8146,UND,UND,OAUZ,1135689.0,36.660557,68.909164,Kunduz,Afghanistan
4.30,8177,URN,URN,,0.0,32.95,69.183334,Urgoon,Afghanistan
4.30,8184,URZ,URZ,,8260973.0,32.9,66.61667,Uruzgan,Afghanistan
4.30,9613,ZAJ,ZAJ,OAZJ,1120985.0,31.1,61.983334,Zaranj,Afghanistan
-4,295,ANU,ANU,TAPA,3575954.0,17.108334,-61.76389,V. C. Bird International,Antigua and Barbuda
-4,558,BBQ,BBQ,,0.0,17.555555,-61.765,Barbuda,Unknown
-4,473,AXA,AXA,TQPF,3573371.0,18.216667,-63.066666,Wallblake,Anguilla
1,7702,TIA,TIA,LATI,3183875.0,41.419132,19.71328,Rinas Mother Teresa,Albania
4,2221,EVN,EVN,UGEE,799617.0,40.15272,44.39805,Zvartnots International,Armenia
4,4601,LWN,LWN,UDSG,6453423.0,40.716667,43.833332,Gyoumri,Armenia
1,286,ANL,ANL,,8260993.0,-11.25,17.25,Andulo,Angola
1,374,ARZ,ARZ,FNZE,7730521.0,-7.5,13.5,N'zeto,Angola
1,519,AZZ,AZZ,FNAM,7730516.0,-7.883333,13.15,Ambriz,Angola
1,999,BUG,BUG,FNBG,6297059.0,-12.606389,13.405556,Gen V Deslandes,Angola
1,1123,CAB,CAB,FNCA,6297060.0,-5.583333,12.2,Cabinda,Angola
1,1143,CAV,CAV,FNCZ,7730520.0,-11.9,22.866667,Cazombo,Angola
1,1167,CBT,CBT,FNCM,7668246.0,-12.483333,13.483333,Catumbela,Angola
1,1233,CEO,CEO,FNWK,8261051.0,9.308333,124.73055,Waco Kungo,Angola
1,1250,CFF,CFF,FNCF,7768322.0,-8.766667,18.0,Cafunfo,Angola
1,1445,CNZ,CNZ,,7730931.0,-11.5,19.0,Cangamba,Angola
1,1556,CTI,CTI,FNCV,7730518.0,-15.166667,19.166668,Cuito Cuanavale,Angola
1,1897,DRC,DRC,,7730987.0,-17.833332,20.7,Dirico,Angola
1,1941,DUE,DUE,FNDU,7668247.0,-7.4,20.816668,Dundo,Angola
1,2580,GGC,GGC,,0.0,-12.65,22.566668,Lumbala,Angola
1,2818,GXG,GXG,FNNG,7668251.0,-7.783333,15.45,Negage,Angola
1,3558,JMB,JMB,,7731144.0,-14.7,16.083332,Jamba,Angola
1,3947,KNP,KNP,FNCP,7731180.0,-9.766944,15.450278,Capanda,Angola
1,4169,LAD,LAD,FNLU,6297063.0,-8.847951,13.234862,4 de Fevereiro,Angola
1,4217,LBZ,LBZ,FNLK,8261009.0,-8.383333,20.666668,Lukapa,Angola
1,4395,LLT,LLT,,8299217.0,-12.3711,13.5367,Lobito,Angola
1,4570,LUO,LUO,FNUE,7668258.0,-11.5,20.166668,Luena,Angola
1,4635,LZM,LZM,,8299040.0,-9.05,18.083332,Luzamba,Angola
1,4751,MEG,MEG,FNMA,7668248.0,-9.533333,16.333332,Malange,Angola
1,5116,MSZ,MSZ,FNMO,7668250.0,-15.208611,12.160833,Namibe,Angola
1,5350,NDD,NDD,FNSU,7668255.0,-11.166667,13.866667,Sumbe,Angola
1,5352,NDF,NDF,,7731331.0,-9.333333,14.833333,Ndalatandos,Angola
1,5505,NOV,NOV,FNHU,6297061.0,-12.805556,15.757222,Huambo,Angola
1,5621,NZA,NZA,FNZG,6354953.0,-8.383333,-21.433332,Nzagi,Angola
1,5971,PBN,PBN,FNPA,7668252.0,-10.7,13.75,Porto Amboim,Angola
1,6067,PGI,PGI,FNCH,145778.0,-7.333333,20.8,Chitato,Angola
1,6984,SDD,SDD,FNBU,7668257.0,-14.924444,13.576667,Lubango,Angola
1,7288,SPP,SPP,FNME,7668249.0,-14.6375,17.725555,Menongue,Angola
1,7365,SSY,SSY,FNBC,7839143.0,-6.273889,14.244167,M'banza Congo,Angola
1,7431,SVP,SVP,FNKU,6297062.0,-12.404167,16.956667,Kuito (Silva Porto),Angola
1,7513,SZA,SZA,FNSO,7668254.0,-6.033333,12.416667,Soyo,Angola
1,8040,UAL,UAL,FNUA,7668256.0,-11.0,22.5,Luau,Angola
1,8083,UGO,UGO,FNUG,7668259.0,-7.816667,15.15,Uige,Angola
1,8299,VHC,VHC,FNSA,7668253.0,-9.75,20.55,Saurimo,Angola
1,8371,VPE,VPE,FNGI,7730078.0,-17.05,15.7,Ondjiva,Angola
1,8767,XGN,XGN,FNXA,7668260.0,-16.75,14.972222,Xangongo,Angola
-4,7826,TNM,TNM,SCRM,8260905.0,-62.190556,-58.98639,Teniente R. Marsh Martin,Antarctica
3.3,10545,QAO,,AT17,,-70.821517,11.643345,Novo Runway,Antarctica
