status,aircraft_iata_code,aircraft_icao24,aircraft_icao_code,aircraft_reg_number,airline_iata_code,airline_icao_code,arrival_iata_code,arrival_icao_code,departure_iata_code,departure_icao_code,flight_iata_number,flight_icao_number,flight_number,geography_altitude,geography_direction,geography_latitude,geography_longitude,speed_horizontal,system_updated
en-route,E75L,A2A1A5,E75L,N269NN,AA,AAL,OMA,KOMA,MIA,KMIA,AA3743,ENY3743,3743,10363.2,335.0,34.018,-85.3315,825.992,2025-11-10 04:03:49+00:00
en-route,A319,AAED17,A319,N803AW,AA,AAL,YYC,CYYC,DFW,KDFW,AA511,AAL511,511,10972.8,341.0,46.3165,-111.411,753.764,2025-11-10 04:03:49+00:00
en-route,A321,ACCED9,A321,N924US,AA,AAL,SLC,KSLC,CLT,KCLT,AA2298,AAL2298,2298,9144.0,300.0,40.4008,-88.5294,753.764,2025-11-10 04:03:31+00:00
en-route,CRJ7,A9A4E2,CRJ7,N720PS,AA,AAL,CRP,KCRP,DFW,KDFW,OH5273,JIA5273,5273,7924.8,181.0,31.1005,-97.4304,911.184,2025-11-10 04:04:15+00:00
en-route,CRJ9,A75359,CRJ9,N571NN,AA,AAL,XNA,KXNA,CLT,KCLT,OH5425,JIA5425,5425,883.92,343.0,36.1369,-94.2421,283.356,2025-11-10 04:03:08+00:00
en-route,E75L,A234EF,E75L,N241NN,AA,AAL,DFW,KDFW,AMA,KAMA,AA3539,ENY3539,3539,7620.0,120.0,33.8344,-98.5513,916.74,2025-11-10 04:04:13+00:00
en-route,A321,A6C88E,A321,N536UW,AA,AAL,SAN,KSAN,PHL,KPHL,AA2051,AAL2051,2051,10363.2,242.0,37.8021,-105.644,859.328,2025-11-10 04:03:50+00:00
en-route,A21N,A4B065,A21N,N401AN,AA,AAL,SEA,KSEA,PHL,KPHL,AA2361,AAL2361,2361,9144.0,276.0,47.2052,-110.65,759.32,2025-11-10 04:03:59+00:00
en-route,A321,A77F2D,A321,N582UW,AA,AAL,DFW,KDFW,SFO,KSFO,AA491,AAL491,491,8145.78,120.0,34.0596,-99.0153,896.368,2025-11-10 04:04:15+00:00
en-route,B738,AD5FEA,B738,N961AN,AA,AAL,CVG,KCVG,DFW,KDFW,AA2109,AAL2109,2109,10668.0,46.0,34.7724,-92.0599,872.292,2025-11-10 04:03:09+00:00
en-route,B38M,A3ADA3,B38M,N336RU,AA,AAL,SNA,KSNA,DFW,KDFW,AA1112,AAL1112,1112,9753.6,285.0,33.5409,-113.198,840.808,2025-11-10 04:04:14+00:00
en-route,B738,A3F500,B738,N354PT,AA,AAL,LAS,KLAS,MIA,KMIA,AA2901,AAL2901,2901,10363.2,280.0,30.0342,-95.8296,705.612,2025-11-10 04:03:59+00:00
en-route,B738,AC18FE,B738,N879NN,AA,AAL,MIA,KMIA,ORD,KORD,AA2419,AAL2419,2419,2499.36,82.0,25.8772,-80.3543,564.86,2025-11-10 04:04:18+00:00
