status,aircraft_iata_code,aircraft_icao24,aircraft_icao_code,aircraft_reg_number,airline_iata_code,airline_icao_code,arrival_iata_code,arrival_icao_code,departure_iata_code,departure_icao_code,flight_iata_number,flight_icao_number,flight_number,geography_altitude,geography_direction,geography_latitude,geography_longitude,speed_horizontal,speed_is_ground,speed_vspeed,system_squawk,system_updated
en-route,B789,AB3856,B789,N822AN,AA,AAL,LAX,KLAX,HND,RJTT,AA170,AAL170,170,11276.4,83.0,49.0043,-159.984,1061.2,0.0,0.0,,2025-11-14 09:04:33+00:00
en-route,A21N,A53975,A21N,N436AN,AA,AAL,LAX,KLAX,HNL,PHNL,AA144,AAL144,144,6629.4,82.0,21.351,-156.511,835.252,0.0,0.0,2461.0,2025-11-14 09:04:33+00:00
en-route,B789,AB30E6,B789,N820AL,AA,AAL,HND,RJTT,LAX,KLAX,AA169,AAL169,169,10355.6,309.42,37.5782,-124.652,942.12,0.0,-1.188,,2025-11-14 09:14:52+00:00
en-route,B772,AA5F41,B772,N768AA,AA,AAL,DFW,KDFW,NRT,RJAA,AA60,AAL60,60,9753.6,79.84,35.9965,144.433,1155.24,0.0,0.0,,2025-11-14 09:13:47+00:00
Unknown,A321,A0428A,A321,N116AN,AA,AAL,BOS,KBOS,LAX,KLAX,AA2453,AAL2453,2453,10919.5,90.91,41.823,-88.6105,929.808,0.0,7.02,,2025-11-14 09:14:52+00:00
en-route,A321,A098F6,A321,N138AN,AA,AAL,CLT,KCLT,SLC,KSLC,AA2298,AAL2298,2298,10668.0,107.89,36.8197,-88.1008,976.932,0.0,0.0,,2025-11-14 09:14:52+00:00
Unknown,A21N,A526E2,A21N,N431AN,AA,AAL,PHL,KPHL,SEA,KSEA,AA2361,AAL2361,2361,10965.2,93.0,48.4183,-104.305,948.224,0.0,0.0,,2025-11-14 09:05:07+00:00
en-route,A21N,A4BB8A,A21N,N404AN,AA,AAL,PHX,KPHX,KOA,PHKO,AA664,AAL664,664,8839.2,64.0,23.6061,-146.896,814.88,0.0,0.0,,2025-11-14 09:04:30+00:00
en-route,B38M,A37EC4,B38M,N324SH,AA,AAL,MIA,KMIA,SFO,KSFO,AA1665,AAL1665,1665,9928.86,79.0,38.2418,-119.413,1011.19,0.0,0.0,,2025-11-14 09:04:48+00:00
en-route,B38M,A33EB5,B38M,N308TB,AA,AAL,DFW,KDFW,BOG,SKBO,AA1122,AAL1122,1122,10972.8,327.0,22.7026,-88.5971,801.916,0.0,0.0,,2025-11-14 09:05:18+00:00
en-route,B77W,A9CECF,B77W,N731AN,AA,AAL,DFW,KDFW,LHR,EGLL,AA51,AAL51,51,9144.0,322.19,53.0541,-1.4941,921.312,0.0,0.0,6242.0,2025-11-14 09:14:52+00:00
en-route,A321,A6CC45,A321,N537UW,AA,AAL,SJU,TJSJ,DFW,KDFW,AA702,AAL702,702,236.22,89.0,18.4336,-66.0574,279.652,0.0,0.0,,2025-11-14 09:05:12+00:00
en-route,B789,AB3FC4,B789,N824AN,AA,AAL,DOH,OTHH,PHL,KPHL,AA120,AAL120,120,11887.2,98.91,35.4438,17.5966,909.18,0.0,0.0,,2025-11-14 09:13:53+00:00
en-route,B789,AB6EA5,B789,N836AA,AA,AAL,PHL,KPHL,DOH,OTHH,AA121,AAL121,121,12192.0,281.0,55.1983,-29.0244,1007.49,0.0,0.0,,2025-11-14 09:04:58+00:00
en-route,B77W,A9A750,B77W,N721AN,AA,AAL,SYD,YSSY,LAX,KLAX,AA73,AAL73,73,9144.0,251.0,31.3913,-131.14,963.04,0.0,0.0,,2025-11-14 09:04:50+00:00
en-route,B77W,A9E167,B77W,N736AT,AA,AAL,LAX,KLAX,SYD,YSSY,AA72,AAL72,72,10669.2,333.0,8.6581,-146.32,911.184,0.0,0.0,,2025-11-14 09:04:28+00:00
en-route,B38M,A37AF8,B38M,N323RM,AA,AAL,MIA,KMIA,MDE,SKRG,AA910,AAL910,910,10363.2,331.73,24.3969,-79.1389,778.068,0.0,0.0,,2025-11-14 09:14:52+00:00
en-route,A321,A71B43,A321,N557UW,AA,AAL,CLT,KCLT,LAS,KLAS,AA2931,AAL2931,2931,10675.6,87.38,37.3435,-101.448,932.544,0.0,0.0,,2025-11-14 09:14:49+00:00
en-route,A21N,A560F4,A21N,N446AN,AA,AAL,MIA,KMIA,LIM,SPIM,AA988,AAL988,988,10363.2,352.26,12.6435,-81.2598,893.412,0.0,-1.188,,2025-11-14 09:14:52+00:00
en-route,B788,AC1076,B788,N877BF,AA,AAL,EZE,SAEZ,MIA,KMIA,AA933,AAL933,933,11887.2,154.92,-10.23,-78.4315,961.092,0.0,-1.188,,2025-11-14 09:14:52+00:00
