status,aircraft_iata_code,aircraft_icao24,aircraft_icao_code,aircraft_reg_number,airline_iata,airline_icao,arrival_iata,arrival_icao,departure_iata,departure_icao,flight_iata,flight_icao,flight_number,geography_altitude,geography_direction,geography_latitude,geography_longitude,speed_horizontal,speed_is_ground,speed_vspeed,system_squawk,system_updated
unknown,A321,8880C0,A321,VN-A608,VN,HVN,THD,VVTX,SGN,VVTS,VN1278,HVN1278,1278,1623.06,7.0,19.6483,105.609,381.512,0.0,0.0,,2025-11-06 15:15:39+00:00
en-route,A359,888168,A359,VN-A899,VN,HVN,HAN,VVNB,CDG,LFPG,VN18,HVN18,18,11887.2,91.0,41.8916,37.7602,944.52,0.0,0.0,,2025-11-06 15:37:51+00:00
en-route,B789,8880F7,B789,VN-A867,VN,HVN,HAN,VVNB,FRA,EDDF,VN36,HVN36,36,11277.6,98.0,42.6142,31.5918,914.888,0.0,0.0,7646.0,2025-11-06 15:37:48+00:00
en-route,B78X,888189,B78X,VN-A874,VN,HVN,HAN,VVNB,SGN,VVTS,VN258,HVN258,258,10050.8,341.0,19.2359,106.058,948.224,0.0,0.0,,2025-11-06 15:38:01+00:00
en-route,A359,88812D,A359,VN-A892,VN,HVN,SGN,VVTS,SFO,KSFO,VN99,HVN99,99,12496.8,252.0,28.9402,153.033,772.284,0.0,0.0,,2025-11-06 15:38:08+00:00
en-route,A321,8880F1,A321,VN-A615,VN,HVN,SGN,VVTS,HAN,VVNB,VN263,HVN263,263,68.58,247.0,10.8327,106.654,455.592,0.0,0.0,,2025-11-06 15:36:12+00:00
unknown,A359,888152,A359,VN-A896,VN,HVN,HAN,VVNB,SGN,VVTS,VN220,HVN220,220,15.24,107.0,21.2248,105.794,259.28,0.0,0.0,,2025-11-06 15:15:39+00:00
unknown,A321,8880A1,A321,VN-A393,VN,HVN,HPH,VVCI,SGN,VVTS,VN1188,HVN1188,1188,15.24,72.0,20.8126,106.709,274.096,0.0,0.0,,2025-11-06 15:32:36+00:00
en-route,B789,8880F8,B789,VN-A868,VN,HVN,SYD,YSSY,SGN,VVTS,VN773,HVN773,773,11270.0,125.0,6.5143,112.612,866.736,0.0,0.0,,2025-11-06 15:38:06+00:00
en-route,A321,88808C,A321,VN-A325,VN,HVN,HAN,VVNB,SGN,VVTS,VN260,HVN260,260,10668.0,337.0,16.2531,107.868,888.96,0.0,0.0,,2025-11-06 15:38:01+00:00
unknown,A321,88808F,A321,VN-A329,VN,HVN,HAN,VVNB,SAI,VDSA,VN842,HVN842,842,30.48,107.0,21.2256,105.791,264.836,0.0,0.0,,2025-11-06 15:36:39+00:00
en-route,A359,8880E7,A359,VN-A889,VN,HVN,MEL,YMML,SGN,VVTS,VN781,HVN781,781,11277.6,131.0,2.3873,107.078,877.848,0.0,0.0,,2025-11-06 15:38:02+00:00
en-route,A321,8880C5,A321,VN-A609,VN,HVN,SGN,VVTS,THD,VVTX,VN1269,HVN1269,1269,6553.2,228.0,11.3913,107.716,814.88,0.0,0.0,,2025-11-06 15:37:39+00:00
en-route,A321,88809E,A321,VN-A392,VN,HVN,HAN,VVNB,SGN,VVTS,VN224,HVN224,224,10492.7,353.0,13.5923,107.379,838.956,0.0,0.0,,2025-11-06 15:37:40+00:00
en-route,A321,88808E,A321,VN-A327,VN,HVN,SGN,VVTS,HAN,VVNB,VN267,HVN267,267,9890.76,157.0,19.2321,106.706,772.284,0.0,0.0,,2025-11-06 15:38:00+00:00
en-route,B789,888129,B789,VN-A869,VN,HVN,DEL,VIDP,SGN,VVTS,VN977,HVN977,977,12192.0,265.0,19.6819,95.9156,72.228,0.0,0.0,,2025-11-06 15:38:01+00:00
en-route,B78X,888188,B78X,VN-A873,VN,HVN,BOM,VABB,HAN,VVNB,VN973,HVN973,973,3680.46,242.0,19.3679,73.7762,544.488,0.0,0.0,,2025-11-06 15:38:28+00:00
en-route,A359,888167,A359,VN-A898,VN,HVN,SFO,KSFO,SGN,VVTS,VN98,HVN98,98,11277.6,47.0,28.576,130.714,913.036,0.0,0.0,,2025-11-06 15:37:55+00:00
en-route,A359,888124,A359,VN-A891,VN,HVN,SGN,VVTS,FRA,EDDF,VN30,HVN30,30,11277.6,94.0,41.746,41.6938,948.224,0.0,0.0,,2025-11-06 15:37:50+00:00
en-route,B78X,88818D,B78X,VN-A878,VN,HVN,SGN,VVTS,HAN,VVNB,VN221,HVN221,221,12192.0,188.0,16.7883,107.391,901.924,0.0,0.0,,2025-11-06 15:38:01+00:00
en-route,B789,8880DF,B789,VN-A861,VN,HVN,SGN,VVTS,LHR,EGLL,VN50,HVN50,50,11277.6,100.0,40.5194,46.1957,981.56,0.0,0.0,,2025-11-06 15:37:50+00:00
