status,type,aircraft_icao24,aircraft_icao_code,aircraft_reg_number,airline_iata_code,airline_icao_code,airline_name,arrival_actual_runway,arrival_actual_time,arrival_estimated_runway,arrival_estimated_time,arrival_iata,arrival_icao_code,arrival_scheduled_time,codeshared_airline_iata_code,codeshared_airline_icao_code,codeshared_airline_name,codeshared_flight_iata_number,codeshared_flight_icao_number,codeshared_flight_number,departure_actual_runway,departure_actual_time,departure_delay,departure_estimated_runway,departure_estimated_time,departure_iata,departure_icao_code,departure_scheduled_time,flight_iata_number,flight_icao_number,flight_number
active,departure,780616,A320,B-6648,CA,CCA,Air China LTD,Unknown,Unknown,Unknown,Unknown,CAN,ZGGG,2025-11-09 22:05:00+00:00,ZH,CSZ,shenzhen airlines,ZH9694,CSZ9694,9694.0,Unknown,Unknown,61.0,Unknown,2025-11-09 20:31:00+00:00,YTY,ZSYA,2025-11-09 19:30:00+00:00,CA3672,CCA3672,3672.0
active,departure,780616,A320,B-6648,SC,CDG,Shandong Airlines,Unknown,Unknown,Unknown,Unknown,CAN,ZGGG,2025-11-09 22:05:00+00:00,ZH,CSZ,shenzhen airlines,ZH9694,CSZ9694,9694.0,Unknown,Unknown,61.0,Unknown,2025-11-09 20:31:00+00:00,YTY,ZSYA,2025-11-09 19:30:00+00:00,SC9502,CDG9502,9502.0
active,departure,780616,A320,B-6648,ZH,CSZ,Shenzhen Airlines,Unknown,Unknown,Unknown,Unknown,CAN,ZGGG,2025-11-09 22:05:00+00:00,,,Unknown,,,,Unknown,Unknown,61.0,Unknown,2025-11-09 20:31:00+00:00,YTY,ZSYA,2025-11-09 19:30:00+00:00,ZH9694,CSZ9694,9694.0
active,departure,781502,B738,B-206E,BK,OKA,Okay Airways,Unknown,Unknown,Unknown,Unknown,CGQ,ZYCC,2025-11-09 22:00:00+00:00,,,Unknown,,,,Unknown,Unknown,71.0,Unknown,2025-11-09 20:51:00+00:00,YTY,ZSYA,2025-11-09 19:40:00+00:00,BK3116,OKA3116,3116.0
active,departure,7808CD,A320,B-6902,9C,CQH,Spring Airlines,Unknown,Unknown,Unknown,Unknown,SHE,ZYTX,2025-11-09 22:05:00+00:00,,,Unknown,,,,Unknown,Unknown,31.0,Unknown,2025-11-09 20:26:00+00:00,YTY,ZSYA,2025-11-09 19:55:00+00:00,9C7594,CQH7594,7594.0
active,departure,7810E7,A320,B-8181,CA,CCA,Air China LTD,Unknown,Unknown,Unknown,2025-11-09 22:13:00+00:00,HRB,ZYHB,2025-11-09 22:35:00+00:00,ZH,CSZ,shenzhen airlines,ZH9756,CSZ9756,9756.0,2025-11-09 20:00:00+00:00,2025-11-09 20:00:00+00:00,1.0,2025-11-09T20:00:00.000,2025-11-09 20:01:00+00:00,YTY,ZSYA,2025-11-09 20:00:00+00:00,CA7966,CCA7966,7966.0
active,departure,7810E7,A320,B-8181,SC,CDG,Shandong Airlines,Unknown,Unknown,Unknown,2025-11-09 22:13:00+00:00,HRB,ZYHB,2025-11-09 22:35:00+00:00,ZH,CSZ,shenzhen airlines,ZH9756,CSZ9756,9756.0,2025-11-09 20:00:00+00:00,2025-11-09 20:00:00+00:00,1.0,2025-11-09T20:00:00.000,2025-11-09 20:01:00+00:00,YTY,ZSYA,2025-11-09 20:00:00+00:00,SC9538,CDG9538,9538.0
active,departure,7810E7,A320,B-8181,ZH,CSZ,Shenzhen Airlines,Unknown,Unknown,Unknown,2025-11-09 22:13:00+00:00,HRB,ZYHB,2025-11-09 22:35:00+00:00,,,Unknown,,,,2025-11-09 20:00:00+00:00,2025-11-09 20:00:00+00:00,1.0,2025-11-09T20:00:00.000,2025-11-09 20:01:00+00:00,YTY,ZSYA,2025-11-09 20:00:00+00:00,ZH9756,CSZ9756,9756.0
active,departure,7822D3,A20N,B-32N9,CA,CCA,Air China LTD,Unknown,Unknown,Unknown,Unknown,SZX,ZGSZ,2025-11-09 23:00:00+00:00,ZH,CSZ,shenzhen airlines,ZH8892,CSZ8892,8892.0,Unknown,Unknown,94.0,Unknown,2025-11-09 21:49:00+00:00,YTY,ZSYA,2025-11-09 20:15:00+00:00,CA3742,CCA3742,3742.0
active,departure,7822D3,A20N,B-32N9,SC,CDG,Shandong Airlines,Unknown,Unknown,Unknown,Unknown,SZX,ZGSZ,2025-11-09 23:00:00+00:00,ZH,CSZ,shenzhen airlines,ZH8892,CSZ8892,8892.0,Unknown,Unknown,94.0,Unknown,2025-11-09 21:49:00+00:00,YTY,ZSYA,2025-11-09 20:15:00+00:00,SC9164,CDG9164,9164.0
active,departure,7822D3,A20N,B-32N9,ZH,CSZ,Shenzhen Airlines,Unknown,Unknown,Unknown,Unknown,SZX,ZGSZ,2025-11-09 23:00:00+00:00,,,Unknown,,,,Unknown,Unknown,94.0,Unknown,2025-11-09 21:49:00+00:00,YTY,ZSYA,2025-11-09 20:15:00+00:00,ZH8892,CSZ8892,8892.0
active,departure,782292,A20N,B-32MS,9C,CQH,Spring Airlines,Unknown,Unknown,Unknown,2025-11-09 21:52:00+00:00,DLC,ZYTL,2025-11-09 22:10:00+00:00,,,Unknown,,,,2025-11-09 20:36:00+00:00,2025-11-09 20:36:00+00:00,6.0,2025-11-09T20:36:00.000,2025-11-09 20:34:00+00:00,YTY,ZSYA,2025-11-09 20:30:00+00:00,9C6778,CQH6778,6778.0
