status,type,aircraft_icao24,aircraft_icao_code,aircraft_reg_number,airline_iata_code,airline_icao_code,airline_name,arrival_actual_runway,arrival_actual_time,arrival_baggage,arrival_delay,arrival_estimated_runway,arrival_estimated_time,arrival_gate,arrival_iata_code,arrival_icao_code,arrival_scheduled_time,arrival_terminal,departure_actual_runway,departure_actual_time,departure_delay,departure_estimated_runway,departure_estimated_time,departure_gate,departure_iata_code,departure_icao_code,departure_scheduled_time,departure_terminal,flight_iata_number,flight_icao_number,flight_number,codeshared_airline_iata_code,codeshared_airline_icao_code,codeshared_airline_name,codeshared_flight_iata_number,codeshared_flight_icao_number,codeshared_flight_number
scheduled,arrival,,320,Unknown,JA,JAT,JetSMART,Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown,CJC,SCCF,2025-11-14 11:03:00+00:00,1,Unknown,Unknown,,Unknown,Unknown,Unknown,LSC,SCSE,2025-11-14 09:33:00+00:00,,JA134,JAT134,134,,,Unknown,,,
active,arrival,E80332,A20N,CC-AZO,H2,SKU,Sky Airline,Unknown,Unknown,Unknown,,Unknown,2025-11-14 06:31:00+00:00,Unknown,CJC,SCCF,2025-11-14 06:40:00+00:00,1,2025-11-14 04:39:00+00:00,2025-11-14 04:39:00+00:00,13.0,2025-11-14T04:39:00.000,2025-11-14 04:27:00+00:00,Unknown,SCL,SCEL,2025-11-14 04:27:00+00:00,1,H2240,SKU240,240,,,Unknown,,,
active,arrival,E8062F,A20N,CC-DIV,JA,JAT,JetSMART,Unknown,Unknown,Unknown,,Unknown,2025-11-14 06:38:00+00:00,Unknown,CJC,SCCF,2025-11-14 06:45:00+00:00,1,2025-11-14 04:44:00+00:00,2025-11-14 04:44:00+00:00,12.0,2025-11-14T04:44:00.000,Unknown,Unknown,SCL,SCEL,2025-11-14 04:33:00+00:00,1,JA30,JAT30,30,,,Unknown,,,
active,arrival,E8060D,A20N,CC-AWN,JA,JAT,JetSMART,Unknown,Unknown,Unknown,,Unknown,2025-11-14 07:40:00+00:00,Unknown,CJC,SCCF,2025-11-14 07:54:00+00:00,1,2025-11-14 05:52:00+00:00,2025-11-14 05:52:00+00:00,11.0,2025-11-14T05:52:00.000,Unknown,Unknown,SCL,SCEL,2025-11-14 05:42:00+00:00,1,JA46,JAT46,46,,,Unknown,,,
active,arrival,E8060D,A20N,CC-AWN,AA,AAL,American Airlines,Unknown,Unknown,Unknown,,Unknown,2025-11-14 07:40:00+00:00,Unknown,CJC,SCCF,2025-11-14 07:54:00+00:00,1,2025-11-14 05:52:00+00:00,2025-11-14 05:52:00+00:00,11.0,2025-11-14T05:52:00.000,Unknown,Unknown,SCL,SCEL,2025-11-14 05:42:00+00:00,1,AA7783,AAL7783,7783,JA,JAT,jetsmart,JA46,JAT46,46.0
active,arrival,E8060D,A20N,CC-AWN,AA,AAL,American Airlines,Unknown,Unknown,Unknown,,Unknown,2025-11-14 07:40:00+00:00,Unknown,CJC,SCCF,2025-11-14 07:54:00+00:00,1,2025-11-14 05:52:00+00:00,2025-11-14 05:52:00+00:00,11.0,2025-11-14T05:52:00.000,Unknown,Unknown,SCL,SCEL,2025-11-14 05:42:00+00:00,1,AA7802,AAL7802,7802,JA,JAT,jetsmart,JA46,JAT46,46.0
active,arrival,E8062F,A20N,CC-DIV,AA,AAL,American Airlines,Unknown,Unknown,Unknown,,Unknown,2025-11-14 06:38:00+00:00,Unknown,CJC,SCCF,2025-11-14 06:45:00+00:00,1,2025-11-14 04:44:00+00:00,2025-11-14 04:44:00+00:00,12.0,2025-11-14T04:44:00.000,Unknown,Unknown,SCL,SCEL,2025-11-14 04:33:00+00:00,1,AA7809,AAL7809,7809,JA,JAT,jetsmart,JA30,JAT30,30.0
cancelled,arrival,E8043D,A320,CC-BAZ,LA,LAN,LATAM Airlines,Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown,CJC,SCCF,2025-11-14 06:46:00+00:00,1,Unknown,Unknown,,Unknown,Unknown,Unknown,SCL,SCEL,2025-11-14 04:39:00+00:00,,LA140,LAN140,140,,,Unknown,,,
cancelled,arrival,E8043C,A320,CC-BAY,LA,LAN,LATAM Airlines,Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown,CJC,SCCF,2025-11-14 07:10:00+00:00,1,Unknown,Unknown,,Unknown,Unknown,Unknown,SCL,SCEL,2025-11-14 05:03:00+00:00,,LA144,LAN144,144,,,Unknown,,,
cancelled,arrival,E8043D,A320,CC-BAZ,IB,IBE,Iberia,Unknown,Unknown,Unknown,,Unknown,Unknown,Unknown,CJC,SCCF,2025-11-14 06:46:00+00:00,1,Unknown,Unknown,,Unknown,Unknown,Unknown,SCL,SCEL,2025-11-14 04:39:00+00:00,,IB6551,IBE6551,6551,LA,LAN,latam airlines,LA140,LAN140,140.0
