airline_iata,airline_icao,arrival_iata,arrival_icao,arrival_terminal,arrival_time,codeshares,departure_iata,departure_icao,departure_terminal,departure_time,flight_number,reg_number
AA,AAL,JFK,KJFK,8,2025-11-09 07:11:00+00:00,"[{'airline_code': 'AS', 'flight_number': '1568'}, {'airline_code': 'BA', 'flight_number': '2497'}, {'airline_code': 'CX', 'flight_number': '7723'}, {'airline_code': 'EY', 'flight_number': '3070'}, {'airline_code': 'JL', 'flight_number': '7453'}, {'airline_code': 'MH', 'flight_number': '9472'}, {'airline_code': 'QF', 'flight_number': '4646'}]",BOS,KBOS,B,2025-11-09 06:00:00+00:00,1,['N151UW']
AA,AAL,JFK,KJFK,8,2025-11-09 05:53:00+00:00,"[{'airline_code': 'AS', 'flight_number': '1749'}, {'airline_code': 'BA', 'flight_number': '4314'}, {'airline_code': 'EY', 'flight_number': '3002'}, {'airline_code': 'HU', 'flight_number': '8902'}, {'airline_code': 'QF', 'flight_number': '3089'}, {'airline_code': 'TN', 'flight_number': '1108'}]",LAX,KLAX,4,2025-11-09 21:15:00+00:00,10,"['N101NN', 'N102NN', 'N103NN', 'N104NN', 'N105NN', 'N106NN', 'N107NN', 'N108NN', 'N109NN', 'N110AN', 'N111ZM', 'N112AN', 'N113AN', 'N114NN', 'N115NN', 'N116AN', 'N117AN']"
AA,AAL,LHR,EGLL,3,2025-11-09 06:20:00+00:00,"[{'airline_code': 'AY', 'flight_number': '4012'}, {'airline_code': 'BA', 'flight_number': '1511'}, {'airline_code': 'GF', 'flight_number': '6654'}, {'airline_code': 'IB', 'flight_number': '4218'}, {'airline_code': 'LY', 'flight_number': '8051'}, {'airline_code': 'QR', 'flight_number': '5290'}]",JFK,KJFK,8,2025-11-09 18:15:00+00:00,100,"['N756AM', 'N759AN', 'N760AN', 'N773AN', 'N788AN', 'N717AN', 'N718AN', 'N719AN', 'N720AN', 'N721AN', 'N722AN', 'N723AN', 'N724AN', 'N725AN', 'N726AN', 'N727AN', 'N728AN', 'N729AN', 'N730AN', 'N731AN', 'N732AN', 'N733AR', 'N734AR', 'N735AT', 'N736AT']"
AA,AAL,TPA,KTPA,,2025-11-09 15:41:00+00:00,"[{'airline_code': 'AS', 'flight_number': '1179'}, {'airline_code': 'BA', 'flight_number': '4867'}, {'airline_code': 'JL', 'flight_number': '7402'}, {'airline_code': 'QF', 'flight_number': '4829'}]",DFW,KDFW,C,2025-11-09 12:15:00+00:00,1000,['N555AN']
AA,AAL,CUN,MMUN,3,2025-11-09 13:52:00+00:00,"[{'airline_code': 'JL', 'flight_number': '7278'}]",DFW,KDFW,D,2025-11-09 11:10:00+00:00,1001,"['N127AA', 'N134AN', 'N135NN', 'N138AN', 'N141NN', 'N144AN', 'N149AN', 'N151AN', 'N152AA', 'N153AN', 'N154AA', 'N155NN', 'N156AN', 'N158AN', 'N159AN', 'N160AN', 'N161AA', 'N803NN', 'N847NN', 'N885NN', 'N904NN', 'N955NN']"
AA,AAL,DFW,KDFW,C,2025-11-09 22:24:00+00:00,"[{'airline_code': 'BA', 'flight_number': '4970'}, {'airline_code': 'JJ', 'flight_number': '2386'}, {'airline_code': 'LA', 'flight_number': '8205'}]",MIA,KMIA,N,2025-11-09 20:18:00+00:00,1002,"['N137AA', 'N144AN', 'N150NN', 'N151AN', 'N152AA', 'N810NN', 'N896NN', 'N901NN', 'N918NN', 'N920NN', 'N923NN', 'N966AN', 'N196AA', 'N678AN', 'N691AA', 'N343AN', 'N351AA', 'N353AA', 'N380AN', 'N382AN', 'N384AA', 'N387AM', 'N394AN']"
AA,AAL,DFW,KDFW,C,2025-11-09 08:03:00+00:00,"[{'airline_code': 'BA', 'flight_number': '5419'}]",DEN,KDEN,,2025-11-09 05:05:00+00:00,1003,Unknown
AA,AAL,DFW,KDFW,A,2025-11-09 09:52:00+00:00,"[{'airline_code': 'AS', 'flight_number': '1876'}, {'airline_code': 'BA', 'flight_number': '4391'}, {'airline_code': 'JL', 'flight_number': '7235'}]",AUS,KAUS,,2025-11-09 08:45:00+00:00,1004,['N145AN']
AA,AAL,DFW,KDFW,D,2025-11-09 11:49:00+00:00,"[{'airline_code': 'BA', 'flight_number': '5339'}]",SJD,MMSD,2,2025-11-09 07:55:00+00:00,1005,Unknown
AA,AAL,BOS,KBOS,B,2025-11-09 13:31:00+00:00,"[{'airline_code': 'JJ', 'flight_number': '2218'}, {'airline_code': 'LA', 'flight_number': '8742'}]",MIA,KMIA,N,2025-11-09 10:07:00+00:00,1006,"['N135NN', 'N136AN', 'N137AA', 'N140AN', 'N145AN', 'N148AN', 'N153AN', 'N156AN', 'N158AN', 'N163AA', 'N988AL', 'N875NN', 'N881NN', 'N889NN', 'N897NN', 'N921NN', 'N940NN', 'N979NN', 'N174AA', 'N185AN', 'N186AN', 'N689AA']"
