status,aircraft_iata_code,aircraft_icao24,aircraft_icao_code,aircraft_reg_number,airline_iata_code,airline_icao_code,arrival_iata_code,arrival_icao_code,departure_iata_code,departure_icao_code,flight_iata_number,flight_icao_number,flight_number,geography_altitude,geography_direction,geography_latitude,geography_longitude,speed_horizontal,system_updated
Unknown,A21N,A4DF52,A21N,N413AN,AA,AAL,PHX,KPHX,DCA,KDCA,AA2491,AAL2491,2491,10378.4,273.0,38.748,-86.1747,755.616,2025-11-10 04:03:09+00:00
Unknown,A21N,AD495B,A21N,N955XV,AA,AAL,MDT,KMDT,DFW,KDFW,AA1571,AAL1571,1571,10668.0,64.0,35.4975,-85.4849,1044.53,2025-11-10 04:03:44+00:00
Unknown,B38M,A3E07A,B38M,N349TV,AA,AAL,JFK,KJFK,MIA,KMIA,AA2077,AAL2077,2077,9090.66,340.0,27.5318,-80.617,864.884,2025-11-10 04:04:19+00:00
Unknown,B738,ACA94B,B738,N915AN,AA,AAL,ORD,KORD,LAX,KLAX,AA2193,AAL2193,2193,10668.0,81.0,38.0952,-107.248,861.18,2025-11-10 04:03:49+00:00
Unknown,B38M,A32FF6,B38M,N304UF,AA,AAL,SFO,KSFO,MIA,KMIA,AA2933,AAL2933,2933,10363.2,288.0,37.4731,-117.44,838.956,2025-11-10 04:03:48+00:00
Unknown,B738,AB284D,B738,N818NN,AA,AAL,MIA,KMIA,ORD,KORD,AA866,AA0013,866,0.0,90.0,32.8958,-97.0456,0.0,2025-11-10 04:04:11+00:00
unknown,A319,A9741D,A319,N708UW,AA,AAL,SRQ,KSRQ,CLT,KCLT,AA2106,AAL2106,2106,0.0,275.0,27.3888,-82.5532,0.0,2025-11-10 04:02:21+00:00
Unknown,CRJ7,A6D857,CRJ7,N540EG,AA,AAL,MSN,KMSN,DCA,KDCA,OH5494,JIA5494,5494,3520.44,270.0,43.1269,-88.7048,624.124,2025-11-10 04:03:31+00:00
Unknown,E75L,A2766F,E75L,N258NN,AA,AAL,CUU,MMCU,DFW,KDFW,AA3511,ENY3511,3511,9753.6,230.0,29.818,-104.573,888.96,2025-11-10 04:04:14+00:00
unknown,E75S,A4DA13,E75S,N411YX,AA,AAL,DCA,KDCA,OKC,KOKC,YX4602,RPA4602,4602,0.0,135.0,35.8783,-78.7937,7.408,2025-11-10 04:02:21+00:00
Unknown,B38M,A3484E,B38M,N310RF,AA,AAL,LAX,KLAX,MIA,KMIA,AA2976,AAL2976,2976,9144.0,272.0,31.726,-100.45,811.176,2025-11-10 04:04:14+00:00
unknown,A320,A8A319,A320,N656AW,AA,AAL,BHM,KBHM,CLT,KCLT,AA2024,AAL2024,2024,106.68,55.0,33.5558,-86.7698,237.056,2025-11-10 04:02:21+00:00
Unknown,A321,A0E7F4,A321,N158AN,AA,AAL,DFW,KDFW,LAX,KLAX,AA1247,AAL1247,1247,5593.08,87.0,32.3526,-98.3829,801.916,2025-11-10 04:04:14+00:00
Unknown,B738,ADEDDD,B738,N997NN,AA,AAL,AUS,KAUS,MIA,KMIA,AA1521,AAL1521,1521,0.0,123.0,25.7911,-80.284,0.0,2025-11-10 04:04:17+00:00
Unknown,B738,AD5398,B738,N958NN,AA,AAL,PHX,KPHX,IND,KIND,AA1180,AAL1180,1180,5539.74,226.0,33.9496,-111.316,681.536,2025-11-10 04:04:14+00:00
Unknown,B38M,A333AE,B38M,N305UG,AA,AAL,SFO,KSFO,MIA,KMIA,AA1684,AAL1684,1684,9753.6,293.0,34.8858,-95.4391,674.128,2025-11-10 04:03:09+00:00
Unknown,B788,AAF0C6,B788,N804AN,AA,AAL,AMS,EHAM,PHL,KPHL,AA9602,AAL9602,9602,11887.2,74.0,49.4582,-43.3413,1053.79,2025-11-10 04:03:59+00:00
unknown,A321,A76DF8,A321,N578UW,AA,AAL,PWM,KPWM,CLT,KCLT,AA2330,AAL2330,2330,312.42,94.0,43.6497,-70.3847,235.204,2025-11-10 04:02:21+00:00
unknown,B738,AB9B13,B738,N847NN,AA,AAL,LAX,KLAX,PIT,KPIT,AA814,AAL814,814,0.0,81.0,33.939,-118.406,11.112,2025-11-10 04:02:21+00:00
Unknown,B789,AB6737,B789,N834AA,AA,AAL,HND,RJTT,DFW,KDFW,AA175,AAL175,175,10972.8,237.0,55.8586,174.349,881.552,2025-11-10 04:03:50+00:00
Unknown,A321,A704F9,A321,N551UW,AA,AAL,DFW,KDFW,BOS,KBOS,AA1148,AAL1148,1148,10363.2,217.0,37.303,-88.1562,768.58,2025-11-10 04:03:09+00:00
Unknown,A321,AC769B,A321,N902AA,AA,AAL,DFW,KDFW,CLT,KCLT,AA1695,AAL1695,1695,0.0,151.0,35.2019,-80.9355,1.852,2025-11-10 04:03:46+00:00
Unknown,B738,A35AAE,B738,N315PE,AA,AAL,DFW,KDFW,YYZ,CYYZ,AA1111,AAL1111,1111,8069.58,132.0,33.8311,-98.2102,963.04,2025-11-10 04:04:13+00:00
unknown,B38M,A373B7,B38M,N321TG,AA,AAL,SDQ,MDSD,MIA,KMIA,AA2145,AAL2145,2145,0.0,340.0,18.4286,-69.6705,38.892,2025-11-10 04:05:19+00:00
Unknown,B38M,A33EB5,B38M,N308TB,AA,AAL,SNA,KSNA,DFW,KDFW,AA2370,AAL2370,2370,10363.2,263.0,32.6955,-99.9031,763.024,2025-11-10 04:04:14+00:00
Unknown,A319,A9E6DF,A319,N737US,AA,AAL,PHX,KPHX,RNO,KRNO,AA1426,AAL1426,1426,1775.46,251.0,33.5371,-112.171,383.364,2025-11-10 04:04:14+00:00
Unknown,CRJ7,A6D857,CRJ7,N540EG,AA,AAL,AGS,KAGS,DCA,KDCA,AA5455,JIA5455,5455,7010.4,212.0,35.042,-80.6889,574.12,2025-11-10 04:03:45+00:00
Unknown,B738,AB00CE,B738,N808NN,AA,AAL,BOS,KBOS,DCA,KDCA,AA1728,AAL1728,1728,8999.22,81.0,42.6403,-73.032,940.816,2025-11-10 04:03:32+00:00
Unknown,A321,A0C075,A321,N148AN,AA,AAL,BUF,KBUF,CLT,KCLT,AA2429,AAL2429,2429,0.0,177.0,35.2039,-80.9357,3.704,2025-11-10 04:03:46+00:00
Unknown,A21N,A555C3,A21N,N443AA,AA,AAL,SFO,KSFO,PHL,KPHL,AA1826,AAL1826,1826,10363.2,256.0,38.6376,-114.83,831.548,2025-11-10 04:03:50+00:00
Unknown,A321,A0CB68,A321,N150NN,AA,AAL,DFW,KDFW,MCO,KMCO,AA1760,AAL1760,1760,6972.3,324.0,29.9501,-83.6294,820.436,2025-11-10 04:04:00+00:00
Unknown,B738,ADB3CB,B738,N982NN,AA,AAL,AUS,KAUS,CLT,KCLT,AA1705,AAL1705,1705,6400.8,284.0,29.8953,-96.2046,627.828,2025-11-10 04:03:59+00:00
Unknown,B788,AC2567,B788,N882BL,AA,AAL,GRU,SBGR,MIA,KMIA,AA925,AAL925,925,0.0,126.0,25.79,-80.282,5.556,2025-11-10 04:04:19+00:00
Unknown,B38M,A37EA4,B38M,N324RA,AA,AAL,DFW,KDFW,RIC,KRIC,AA2067,AAL2067,2067,9753.6,269.0,33.4856,-88.5378,640.792,2025-11-10 04:03:50+00:00
Unknown,B38M,A3CDE4,B38M,N344TS,AA,AAL,MDE,SKRG,MIA,KMIA,AA1129,AAL1129,1129,10668.0,188.0,8.6967,-76.044,800.064,2025-11-10 04:03:18+00:00
Unknown,A21N,A560F4,A21N,N446AN,AA,AAL,SMF,KSMF,DFW,KDFW,AA2554,AAL2554,2554,0.0,253.0,38.6933,-121.586,0.0,2025-11-10 04:03:25+00:00
Unknown,B738,AD7ECE,B738,N969NN,AA,AAL,GUA,MGGT,MIA,KMIA,AA1027,AAL1027,1027,7010.4,195.0,15.6433,-89.7876,766.728,2025-11-10 04:03:59+00:00
Unknown,A319,A9B7F6,A319,N725UW,AA,AAL,CLT,KCLT,DTW,KDTW,AA1297,AAL1297,1297,8846.82,135.0,37.0923,-82.2887,720.428,2025-11-10 04:03:42+00:00
Unknown,A320,A027FA,A320,N109UW,AA,AAL,PHX,KPHX,CMH,KCMH,AA1539,AAL1539,1539,10988.0,247.0,37.825,-101.608,801.916,2025-11-10 04:03:09+00:00
Unknown,B738,AAF960,B738,N806NN,AA,AAL,JFK,KJFK,MIA,KMIA,AA2225,AAL2225,2225,1272.54,28.0,40.4285,-73.387,450.036,2025-11-10 04:03:43+00:00
Unknown,B38M,A35AF8,B38M,N315SD,AA,AAL,UIO,SEQM,MIA,KMIA,AA2259,AAL2259,2259,10668.0,176.0,11.7751,-79.5512,814.88,2025-11-10 04:03:19+00:00
Unknown,B788,AB148E,B788,N813AN,AA,AAL,FCO,LIRF,PHL,KPHL,AA718,AAL718,718,12192.0,80.0,49.5738,-25.4382,994.524,2025-11-10 04:03:24+00:00
Unknown,B788,AAE597,B788,N801AC,AA,AAL,MAD,LEMD,PHL,KPHL,AA740,AAL740,740,12496.8,82.0,41.1348,-44.9233,1040.82,2025-11-10 04:03:54+00:00
Unknown,A21N,A4C2F8,A21N,N406AN,AA,AAL,LAX,KLAX,ORD,KORD,AA2998,AAL2998,2998,10348.0,250.0,40.5188,-98.1573,868.588,2025-11-10 04:03:38+00:00
Unknown,B38M,AB129A,B38M,N812UP,AA,AAL,MEX,MMMX,DFW,KDFW,AA2417,AAL2417,2417,8534.4,177.0,21.3234,-99.8029,877.848,2025-11-10 04:03:59+00:00
Unknown,E75L,A301D8,E75L,N293NN,AA,AAL,SGF,KSGF,CLT,KCLT,AA3913,ENY3913,3913,6294.12,280.0,37.0571,-92.0482,646.348,2025-11-10 04:03:09+00:00
Unknown,A21N,A59D5F,A21N,N461AN,AA,AAL,MIA,KMIA,CLT,KCLT,AA1194,AAL1194,1194,6096.0,166.0,28.67,-80.7283,661.164,2025-11-10 04:03:44+00:00
Unknown,E75L,A1CD4E,E75L,N215NN,AA,AAL,XNA,KXNA,DCA,KDCA,AA3957,ENY3957,3957,10363.2,255.0,36.8565,-87.6048,737.096,2025-11-10 04:03:08+00:00
unknown,CRJ9,A7C878,CRJ9,N600NN,AA,AAL,DAY,KDAY,DFW,KDFW,OH5156,JIA5156,5156,274.32,235.0,39.9107,-84.2167,240.76,2025-11-10 03:42:20+00:00
Unknown,A321,A0428A,A321,N116AN,AA,AAL,SFO,KSFO,JFK,KJFK,AA177,AAL177,177,10378.4,271.0,43.3994,-83.0978,800.064,2025-11-10 04:03:31+00:00
Unknown,A319,AB6EB9,A319,N836AW,AA,AAL,JAX,KJAX,DCA,KDCA,AA736,AAL736,736,10363.2,219.0,37.3781,-78.6226,631.532,2025-11-10 04:03:42+00:00
Unknown,A321,A01FEE,A321,N107NN,AA,AAL,LAX,KLAX,JFK,KJFK,AA117,AAL117,117,0.0,118.0,40.6508,-73.772,14.816,2025-11-10 04:03:43+00:00
Unknown,A319,A95745,A319,N70020,AA,AAL,CLT,KCLT,JFK,KJFK,AA2541,AAL2541,2541,9448.8,178.0,37.5477,-81.7646,659.312,2025-11-10 04:03:43+00:00
Unknown,E75L,A29DEE,E75L,N268NN,AA,AAL,ELP,KELP,ORD,KORD,AA3348,ENY3348,3348,0.0,271.0,41.9732,-87.9279,0.0,2025-11-10 04:03:32+00:00
Unknown,A321,A0CC06,A321,N150UW,AA,AAL,LAS,KLAS,CLT,KCLT,AA1454,AAL1454,1454,7559.04,274.0,36.931,-113.174,722.28,2025-11-10 04:03:49+00:00
Unknown,E75L,A1C229,E75L,N212NN,AA,AAL,BIL,KBIL,DFW,KDFW,AA3937,ENY3937,3937,9144.0,314.0,42.4982,-104.298,729.688,2025-11-10 04:03:48+00:00
Unknown,E75S,A06ABA,E75S,N126HQ,AA,AAL,PIT,KPIT,ORD,KORD,YX4363,RPA4363,4363,0.0,317.0,40.4926,-80.2444,27.78,2025-11-10 04:03:42+00:00
Unknown,B738,AC0DD9,B738,N876NN,AA,AAL,MFE,KMFE,DFW,KDFW,AA2029,AAL2029,2029,0.0,171.0,32.9074,-97.0379,0.0,2025-11-10 04:04:12+00:00
Unknown,B38M,A3FCD6,B38M,N356TX,AA,AAL,RIC,KRIC,MIA,KMIA,AA2795,AAL2795,2795,11277.6,25.0,32.1279,-80.9565,1011.19,2025-11-10 04:03:43+00:00
Unknown,B738,AB0E4C,B738,N811NN,AA,AAL,MSP,KMSP,CLT,KCLT,AA1635,AAL1635,1635,7444.74,324.0,36.4847,-81.2062,820.436,2025-11-10 04:03:43+00:00
Unknown,B788,AC053F,B788,N874AN,AA,AAL,LIS,LPPT,PHL,KPHL,AA258,AAL258,258,11887.2,67.0,43.3324,-66.3572,1081.57,2025-11-10 04:03:59+00:00
unknown,E75L,A2FA6A,E75L,N291NN,AA,AAL,ECP,KECP,DFW,KDFW,AA3500,ENY3500,3500,45.72,339.0,30.3368,-85.7862,216.684,2025-11-10 03:55:20+00:00
Unknown,B738,AD6116,B738,N961NN,AA,AAL,EWR,KEWR,MIA,KMIA,AA1079,AAL1079,1079,8839.2,340.0,28.1508,-80.9901,829.696,2025-11-10 04:04:19+00:00
Unknown,E75L,A35DC2,E75L,N316GS,AA,AAL,DFW,KDFW,COU,KCOU,AA3425,ENY3425,3425,7315.2,133.0,33.6906,-98.0307,948.224,2025-11-10 04:04:14+00:00
Unknown,B772,AA253B,B772,N753AN,AA,AAL,MIA,KMIA,GRU,SBGR,AA906,AAL906,906,10980.4,342.0,-21.2685,-47.313,881.552,2025-11-10 04:04:02+00:00
