status,aircraft_iata_code,aircraft_icao24,aircraft_icao_code,aircraft_reg_number,airline_iata_code,airline_icao_code,arrival_iata_code,arrival_icao_code,departure_iata_code,departure_icao_code,flight_iata_number,flight_icao_number,flight_number,geography_altitude,geography_direction,geography_latitude,geography_longitude,speed_horizontal,speed_is_ground,speed_vspeed,system_squawk,system_updated
en-route,B789,88812A,B789,VN-A870,VN,HVN,HAN,VVNB,HND,RJTT,VN385,HVN385,385,4076.7,275.31,35.4843,139.502,559.872,0.0,37.44,3205.0,2025-11-22 07:59:55+00:00
en-route,A359,888167,A359,VN-A898,VN,HVN,SGN,VVTS,SYD,YSSY,VN772,HVN772,772,11582.4,311.0,4.1242,115.467,903.776,0.0,0.0,,2025-11-22 08:00:20+00:00
en-route,A359,888168,A359,VN-A899,VN,HVN,SGN,VVTS,MEL,YMML,VN780,HVN780,780,11582.4,305.0,7.0979,111.795,937.112,0.0,0.0,,2025-11-22 08:00:19+00:00
landed,B789,8880E0,B789,VN-A862,VN,HVN,LHR,EGLL,SGN,VVTS,VN51,HVN51,51,0.0,331.0,51.4577,-0.4505,0.0,1.0,0.0,3250.0,2025-11-22 07:55:57+00:00
landed,A321,888099,A321,VN-A335,VN,HVN,SGN,VVTS,KTI,VDKT,VN921,HVN921,921,0.0,95.0,10.8152,106.661,0.0,1.0,0.0,,2025-11-22 07:58:29+00:00
en-route,A359,888152,A359,VN-A896,VN,HVN,HAN,VVNB,SYD,YSSY,VN786,HVN786,786,11582.4,338.0,-16.2749,130.524,872.292,0.0,0.0,,2025-11-22 07:59:35+00:00
en-route,A359,8880E6,A359,VN-A888,VN,HVN,SGN,VVTS,HAN,VVNB,VN251,HVN251,251,4472.94,259.0,11.0614,107.641,575.972,0.0,0.0,,2025-11-22 08:00:02+00:00
en-route,B789,88812B,B789,VN-A871,VN,HVN,HAN,VVNB,SIN,WSSS,VN660,HVN660,660,11262.4,0.67,19.0902,106.103,944.568,0.0,-8.208,,2025-11-22 07:59:55+00:00
en-route,A21N,88816A,A21N,VN-A619,VN,HVN,CAN,ZGGG,HAN,VVNB,VN506,HVN506,506,891.54,13.0,23.227,113.234,342.62,0.0,0.0,,2025-11-22 07:58:56+00:00
unknown,A321,88808B,A321,VN-A324,VN,HVN,HAN,VVNB,CXR,VVCR,VN1552,HVN1552,1552,342.9,107.0,21.244,105.728,266.688,0.0,0.0,,2025-11-22 07:46:20+00:00
en-route,B78X,88818E,B78X,VN-A879,VN,HVN,SGN,VVTS,HAN,VVNB,VN213,HVN213,213,11125.2,166.0,16.2582,107.878,877.848,0.0,0.0,,2025-11-22 07:59:53+00:00
en-route,A20N,8881B6,A20N,VN-A514,VN,HVN,HAN,VVNB,UIH,VVPC,VN1622,HVN1622,1622,5021.58,357.15,20.6571,105.639,483.984,0.0,-17.568,,2025-11-22 07:59:54+00:00
