airline_iata,airline_icao,arrival_iata,arrival_icao,arrival_terminal,arrival_time,codeshares,departure_iata,departure_icao,departure_terminal,departure_time,flight_number,reg_number
VN,HVN,PEK,ZBAA,,2025-11-22 19:15:00+00:00,Unknown,NNG,ZGNN,,2025-11-22 16:15:00+00:00,1,Unknown
VN,HVN,SGN,VVTS,2,2025-11-22 06:05:00+00:00,"[{'airline_code': 'AZ', 'flight_number': '3003'}]",CDG,LFPG,2E,2025-11-22 13:10:00+00:00,10,"['VN-A886', 'VN-A887', 'VN-A888', 'VN-A889']"
VN,HVN,SGN,VVTS,1,2025-11-22 07:45:00+00:00,Unknown,DAD,VVDN,,2025-11-22 06:15:00+00:00,101,"['VN-A323', 'VN-A327', 'VN-A331', 'VN-A354', 'VN-A361', 'VN-A366', 'VN-A605', 'VN-A609']"
VN,HVN,SGN,VVTS,1,2025-11-22 08:25:00+00:00,Unknown,DAD,VVDN,,2025-11-22 06:55:00+00:00,103,"['VN-A338', 'VN-A357', 'VN-A367', 'VN-A601', 'VN-A611']"
VN,HVN,DAD,VVDN,,2025-11-22 07:15:00+00:00,Unknown,SGN,VVTS,1,2025-11-22 05:55:00+00:00,104,Unknown
VN,HVN,SGN,VVTS,1,2025-11-22 09:35:00+00:00,Unknown,DAD,VVDN,,2025-11-22 08:05:00+00:00,105,['XU-350']
VN,HVN,DAD,VVDN,,2025-11-22 07:35:00+00:00,Unknown,SGN,VVTS,1,2025-11-22 06:15:00+00:00,106,"['VN-A356', 'VN-A606']"
VN,HVN,SGN,VVTS,1,2025-11-22 09:55:00+00:00,Unknown,DAD,VVDN,,2025-11-22 08:25:00+00:00,107,"['VN-A332', 'VN-A376']"
VN,HVN,DAD,VVDN,,2025-11-22 08:45:00+00:00,Unknown,SGN,VVTS,1,2025-11-22 07:25:00+00:00,108,['VN-A603']
VN,HVN,SGN,VVTS,1,2025-11-22 11:05:00+00:00,Unknown,DAD,VVDN,,2025-11-22 09:35:00+00:00,109,"['VN-A357', 'VN-A397', 'VN-A398']"
VN,HVN,CDG,LFPG,2E,2025-11-22 06:30:00+00:00,"[{'airline_code': 'AZ', 'flight_number': '3002'}]",SGN,VVTS,2,2025-11-22 23:00:00+00:00,11,"['VN-A886', 'VN-A887', 'VN-A888', 'VN-A889']"
VN,HVN,DAD,VVDN,,2025-11-22 09:55:00+00:00,Unknown,SGN,VVTS,1,2025-11-22 08:35:00+00:00,110,['VN-A395']
VN,HVN,DAD,VVDN,,2025-11-22 19:00:00+00:00,"[{'airline_code': 'AF', 'flight_number': '3301'}]",SGN,VVTS,1,2025-11-22 17:40:00+00:00,112,['VN-A331']
VN,HVN,SGN,VVTS,1,2025-11-22 00:30:00+00:00,Unknown,DAD,VVDN,,2025-11-22 23:00:00+00:00,113,"['VN-A332', 'VN-A339', 'VN-A363', 'XU-349']"
VN,HVN,DAD,VVDN,,2025-11-22 09:50:00+00:00,Unknown,SGN,VVTS,1,2025-11-22 08:30:00+00:00,114,Unknown
VN,HVN,SGN,VVTS,1,2025-11-22 00:30:00+00:00,Unknown,DAD,VVDN,,2025-11-22 23:00:00+00:00,115,"['VN-A352', 'VN-A358', 'VN-A366', 'VN-A609', 'VN-A375']"
VN,HVN,DAD,VVDN,,2025-11-22 13:20:00+00:00,Unknown,SGN,VVTS,1,2025-11-22 12:00:00+00:00,116,"['VN-A338', 'VN-A353']"
VN,HVN,SGN,VVTS,1,2025-11-22 15:40:00+00:00,"[{'airline_code': 'MU', 'flight_number': '8480'}]",DAD,VVDN,,2025-11-22 14:10:00+00:00,117,"['VN-A323', 'VN-A329', 'VN-A334', 'VN-A338', 'VN-A353', 'VN-A354', 'VN-A356', 'VN-A365', 'VN-A399', 'VN-A383']"
VN,HVN,SGN,VVTS,1,2025-11-22 11:55:00+00:00,Unknown,HPH,VVCI,,2025-11-22 09:50:00+00:00,1181,Unknown
VN,HVN,HPH,VVCI,,2025-11-22 09:30:00+00:00,Unknown,SGN,VVTS,1,2025-11-22 07:30:00+00:00,1182,"['VN-A331', 'VN-A332', 'VN-A604']"
VN,HVN,SGN,VVTS,1,2025-11-22 12:00:00+00:00,Unknown,HPH,VVCI,,2025-11-22 10:05:00+00:00,1183,['VN-A613']
VN,HVN,HPH,VVCI,,2025-11-22 15:00:00+00:00,Unknown,SGN,VVTS,1,2025-11-22 13:00:00+00:00,1186,"['VN-A329', 'VN-A332', 'VN-A338', 'VN-A344', 'VN-A601', 'VN-A614']"
VN,HVN,SGN,VVTS,1,2025-11-22 17:40:00+00:00,Unknown,HPH,VVCI,,2025-11-22 15:45:00+00:00,1187,"['VN-A329', 'VN-A331', 'VN-A603', 'XU-351']"
VN,HVN,HPH,VVCI,,2025-11-22 18:45:00+00:00,Unknown,SGN,VVTS,1,2025-11-22 16:45:00+00:00,1188,"['VN-A329', 'VN-A332', 'VN-A352', 'VN-A392', 'VN-A393', 'VN-A396', 'VN-A601', 'VN-A609', 'VN-A612']"
VN,HVN,SGN,VVTS,1,2025-11-22 21:25:00+00:00,Unknown,HPH,VVCI,,2025-11-22 19:30:00+00:00,1189,"['VN-A603', 'VN-A609']"
VN,HVN,DAD,VVDN,,2025-11-22 16:15:00+00:00,Unknown,SGN,VVTS,1,2025-11-22 14:55:00+00:00,120,"['VN-A323', 'VN-A605', 'VN-A615', 'VN-A371']"
VN,HVN,HAN,VVNB,1,2025-11-22 12:35:00+00:00,Unknown,VCA,,,2025-11-22 10:25:00+00:00,1200,"['VN-A399', 'VN-A615']"
VN,HVN,VCA,,,2025-11-22 09:40:00+00:00,Unknown,HAN,VVNB,1,2025-11-22 07:30:00+00:00,1201,"['VN-A324', 'VN-A351', 'VN-A358', 'VN-A395']"
VN,HVN,HAN,VVNB,1,2025-11-22 19:00:00+00:00,Unknown,VCA,,,2025-11-22 16:50:00+00:00,1202,Unknown
VN,HVN,VCA,,,2025-11-22 16:05:00+00:00,Unknown,HAN,VVNB,1,2025-11-22 13:55:00+00:00,1203,Unknown
VN,HVN,SGN,VVTS,1,2025-11-22 18:45:00+00:00,"[{'airline_code': 'EY', 'flight_number': '7769'}]",DAD,VVDN,,2025-11-22 17:15:00+00:00,121,"['VN-A332', 'VN-A334', 'VN-A360', 'VN-A362', 'VN-A363', 'VN-A365', 'VN-A602', 'VN-A613', 'XU-349', 'XU-351', 'VN-A371', 'VN-A376']"
