status,aircraft_iata_code,aircraft_icao24,aircraft_icao_code,aircraft_reg_number,airline_iata_code,airline_icao_code,arrival_iata_code,arrival_icao_code,departure_iata_code,departure_icao_code,flight_iata_number,flight_icao_number,flight_number,geography_altitude,geography_direction,geography_latitude,geography_longitude,speed_horizontal,system_updated
unknown,A21N,888194,A21N,VN-A508,VN,HVN,CXR,VVCR,HAN,VVNB,VN1553,HVN1553,1553,3131.82,168.0,12.1321,109.367,535.228,2025-11-08 06:48:20+00:00
unknown,A321,88808E,A321,VN-A327,VN,HVN,HAN,VVNB,DAD,VVDN,VN166,HVN166,166,22.86,107.0,21.2246,105.795,251.872,2025-11-08 06:32:19+00:00
Unknown,B789,8880F7,B789,VN-A867,VN,HVN,HAN,VVNB,SIN,WSSS,VN660,HVN660,660,10660.4,8.0,8.8177,104.415,881.552,2025-11-08 06:49:29+00:00
Unknown,A321,8880A5,A321,VN-A397,VN,HVN,CXR,VVCR,SGN,VVTS,VN1344,HVN1344,1344,4732.02,74.0,11.8719,108.775,700.056,2025-11-08 06:49:29+00:00
unknown,A21N,888176,A21N,VN-A501,VN,HVN,UIH,VVPC,SGN,VVTS,VN1390,HVN1390,1390,861.06,329.0,13.8258,109.129,387.068,2025-11-08 06:32:19+00:00
unknown,A320,888126,A320,VN-A675,VJ,VJC,DLI,VVDL,HAN,VVNB,VJ407,VJC407,407,2270.76,178.0,11.8867,108.154,409.292,2025-11-08 06:36:18+00:00
unknown,A321,885967,A321,HS-VKG,VJ,VJC,TPE,RCTP,KIX,RJBB,VZ567,TVJ567,567,2263.14,245.0,25.1017,121.005,437.072,2025-11-08 06:32:19+00:00
unknown,A21N,8881F2,A21N,VN-A547,VJ,VJC,HAN,VVNB,ICN,RKSI,VJ961,VJC961,961,609.6,107.0,21.2553,105.689,312.988,2025-11-08 06:32:19+00:00
unknown,A21N,888200,A21N,VN-A516,VJ,VJC,BMV,VVBM,HPH,VVCI,VJ671,VJC671,671,2766.06,228.0,12.8948,108.077,474.112,2025-11-08 06:32:19+00:00
Unknown,A321,885972,A321,HS-VKR,VJ,VJC,BKK,VTBS,HKT,VTSP,VZ305,TVJ305,305,1379.22,204.0,13.376,100.782,398.18,2025-11-08 06:49:30+00:00
Unknown,A321,8881A8,A321,VN-A532,VJ,VJC,TPE,RCTP,SGN,VVTS,VJ842,VJC842,842,0.0,5.0,10.8135,106.66,0.0,2025-11-08 06:49:30+00:00
unknown,A321,888157,A321,VN-A649,VJ,VJC,VCA,VVCT,HAN,VVNB,VJ463,VJC463,463,647.7,239.0,10.1678,105.856,335.212,2025-11-08 06:32:19+00:00
unknown,AT75,88805D,AT75,VN-B218,0V,VFC,VCS,VVCS,SGN,VVTS,0V8063,VFC8063,8063,1767.84,156.0,8.8244,106.835,370.4,2025-11-08 06:32:19+00:00
Unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,CAL6866,XXF,10971.6,55.0,13.9725,114.453,874.144,2025-11-08 06:28:00+00:00
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,JA01BJ,XXF,2034.54,186.29,26.111,127.915,439.704,2025-11-08 06:29:47+00:00
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,CAL5314,XXF,609.6,348.81,34.7269,136.837,334.152,2025-11-08 06:29:48+00:00
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,VTJSR,XXF,426.72,240.0,19.0845,72.954,574.12,2025-11-08 06:32:18+00:00
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,AIC180,XXF,1021.08,269.0,19.0917,73.089,350.028,2025-11-08 06:32:18+00:00
