status,type,aircraft_icao24,aircraft_icao_code,aircraft_reg_number,airline_iata_code,airline_icao_code,airline_name,arrival_actual_runway,arrival_actual_time,arrival_estimated_runway,arrival_estimated_time,arrival_iata,arrival_icao_code,arrival_scheduled_time,codeshared_airline_iata_code,codeshared_airline_icao_code,codeshared_airline_name,codeshared_flight_iata_number,codeshared_flight_icao_number,codeshared_flight_number,departure_actual_runway,departure_actual_time,departure_delay,departure_estimated_runway,departure_estimated_time,departure_iata,departure_icao_code,departure_scheduled_time,flight_iata_number,flight_icao_number,flight_number
unknown,departure,,321,Unknown,VN,HVN,Vietnam Airlines,Unknown,Unknown,Unknown,Unknown,HAN,VVNB,2025-11-08 12:20:00+00:00,,,Unknown,,,,Unknown,Unknown,,Unknown,Unknown,CXR,VVCR,2025-11-08 10:20:00+00:00,VN7550,HVN7550,7550
unknown,departure,,321,Unknown,CI,CAL,China Airlines,Unknown,Unknown,Unknown,Unknown,HAN,VVNB,2025-11-08 14:30:00+00:00,VN,HVN,vietnam airlines,VN1552,HVN1552,1552.0,Unknown,Unknown,,Unknown,Unknown,CXR,VVCR,2025-11-08 12:30:00+00:00,CI8762,CAL8762,8762
unknown,departure,,321,Unknown,VN,HVN,Vietnam Airlines,Unknown,Unknown,Unknown,Unknown,HAN,VVNB,2025-11-08 14:30:00+00:00,,,Unknown,,,,Unknown,Unknown,,Unknown,Unknown,CXR,VVCR,2025-11-08 12:30:00+00:00,VN1552,HVN1552,1552
unknown,departure,,321,Unknown,K6,KHV,Cambodia Angkor Air,Unknown,Unknown,Unknown,Unknown,SGN,VVTS,2025-11-08 10:25:00+00:00,VN,HVN,vietnam airlines,VN109,HVN109,109.0,Unknown,Unknown,,Unknown,Unknown,DAD,VVDN,2025-11-08 08:55:00+00:00,K63109,KHV3109,3109
unknown,departure,,321,Unknown,VN,HVN,Vietnam Airlines,Unknown,Unknown,Unknown,Unknown,SGN,VVTS,2025-11-08 10:25:00+00:00,,,Unknown,,,,Unknown,Unknown,,Unknown,Unknown,DAD,VVDN,2025-11-08 08:55:00+00:00,VN109,HVN109,109
unknown,departure,,321,Unknown,,,empty,Unknown,Unknown,Unknown,Unknown,HAN,VVNB,2025-11-08 11:55:00+00:00,,,Unknown,,,,Unknown,Unknown,,Unknown,Unknown,DAD,VVDN,2025-11-08 10:30:00+00:00,,,6080
unknown,departure,,321,Unknown,VU,VAG,Vietravel Airlines,Unknown,Unknown,Unknown,Unknown,SGN,VVTS,2025-11-08 12:35:00+00:00,,,Unknown,,,,Unknown,Unknown,,Unknown,Unknown,DAD,VVDN,2025-11-08 11:05:00+00:00,VU673,VAG673,673
unknown,departure,,321,Unknown,CI,CAL,China Airlines,Unknown,Unknown,Unknown,Unknown,HAN,VVNB,2025-11-08 14:20:00+00:00,VN,HVN,vietnam airlines,VN168,HVN168,168.0,Unknown,Unknown,,Unknown,Unknown,DAD,VVDN,2025-11-08 12:50:00+00:00,CI8858,CAL8858,8858
unknown,departure,,321,Unknown,VN,HVN,Vietnam Airlines,Unknown,Unknown,Unknown,Unknown,HAN,VVNB,2025-11-08 14:20:00+00:00,,,Unknown,,,,Unknown,Unknown,,Unknown,Unknown,DAD,VVDN,2025-11-08 12:50:00+00:00,VN168,HVN168,168
unknown,departure,,321,Unknown,CI,CAL,China Airlines,Unknown,Unknown,Unknown,Unknown,SGN,VVTS,2025-11-08 14:25:00+00:00,VN,HVN,vietnam airlines,VN127,HVN127,127.0,Unknown,Unknown,,Unknown,Unknown,DAD,VVDN,2025-11-08 12:55:00+00:00,CI8787,CAL8787,8787
unknown,departure,,321,Unknown,K6,KHV,Cambodia Angkor Air,Unknown,Unknown,Unknown,Unknown,SGN,VVTS,2025-11-08 14:25:00+00:00,VN,HVN,vietnam airlines,VN127,HVN127,127.0,Unknown,Unknown,,Unknown,Unknown,DAD,VVDN,2025-11-08 12:55:00+00:00,K63127,KHV3127,3127
unknown,departure,,321,Unknown,VN,HVN,Vietnam Airlines,Unknown,Unknown,Unknown,Unknown,SGN,VVTS,2025-11-08 14:25:00+00:00,,,Unknown,,,,Unknown,Unknown,,Unknown,Unknown,DAD,VVDN,2025-11-08 12:55:00+00:00,VN127,HVN127,127
unknown,departure,,321,Unknown,,,empty,Unknown,Unknown,Unknown,Unknown,SGN,VVTS,2025-11-08 11:25:00+00:00,,,Unknown,,,,Unknown,Unknown,,Unknown,Unknown,DLI,VVDL,2025-11-08 10:25:00+00:00,,,6171
unknown,departure,,77X,Unknown,QR,QTR,Qatar Airways,Unknown,Unknown,Unknown,Unknown,DOH,OTHH,2025-11-08 10:15:00+00:00,,,Unknown,,,,Unknown,Unknown,,Unknown,Unknown,HAN,VVNB,2025-11-08 06:45:00+00:00,QR8955,QTR8955,8955
unknown,departure,,321,Unknown,,,empty,Unknown,Unknown,Unknown,Unknown,PQC,VVPQ,2025-11-08 09:50:00+00:00,,,Unknown,,,,Unknown,Unknown,,Unknown,Unknown,HAN,VVNB,2025-11-08 07:45:00+00:00,,,1203
unknown,departure,,321,Unknown,,,empty,Unknown,Unknown,Unknown,Unknown,DAD,VVDN,2025-11-08 09:55:00+00:00,,,Unknown,,,,Unknown,Unknown,,Unknown,Unknown,HAN,VVNB,2025-11-08 08:30:00+00:00,,,6081
unknown,departure,,321,Unknown,CI,CAL,China Airlines,Unknown,Unknown,Unknown,Unknown,KHH,RCKH,2025-11-08 12:10:00+00:00,VN,HVN,vietnam airlines,VN582,HVN582,582.0,Unknown,Unknown,,Unknown,Unknown,HAN,VVNB,2025-11-08 08:55:00+00:00,CI9028,CAL9028,9028
