status,aircraft.iataCode,aircraft.icao24,aircraft.icaoCode,aircraft.regNumber,airline.iataCode,airline.icaoCode,arrival.iataCode,arrival.icaoCode,departure.iataCode,departure.icaoCode,flight.iataNumber,flight.icaoNumber,flight.number,geography.altitude,geography.direction,geography.latitude,geography.longitude,speed.horizontal,speed.isGround,speed.vspeed,system.squawk,system.updated
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,8QMBF,XXF,91.44,249.0,5.3702,73.3476,144.456,0.0,0.0,,1762331902
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,GZP705,XXF,10058.4,70.0,64.3564,58.4419,848.216,0.0,0.0,,1762331902
unknown,CRJ2,150654,CRJ2,RA-67156,RT,UVT,PEE,USPP,KZN,UWKD,RT541,UVT541,541,7620.0,51.0,57.6386,55.3635,738.948,0.0,0.0,,1762331902
unknown,B738,151D96,B738,RA-73110,SU,AFL,SVO,UUEE,UUD,UIUU,SU1455,AFL1455,1455,525.78,255.0,55.9911,37.5817,248.168,0.0,0.0,,1762331902
unknown,A20N,151EE9,A20N,RA-73449,S7,SBI,LED,ULLI,IKT,UIII,S76409,SBI6409,6409,213.36,286.0,59.7816,30.3424,233.352,0.0,0.0,,1762331902
unknown,A20N,70C10C,A20N,A4O-OVG,OV,OMS,UKH,OOMK,MCT,OOMS,OV5093,OMS5093,5093,5509.26,179.0,19.8318,56.4008,753.764,0.0,0.0,,1762331902
unknown,A320,780568,A320,B-6569,ZH,CSZ,CAN,ZGGG,TNA,ZSJN,ZH9974,CSZ9974,9974,45.72,14.0,23.3788,113.275,240.76,0.0,0.0,,1762331903
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,CGZ7128,XXF,3870.96,182.0,25.5307,104.99,537.08,0.0,0.0,,1762331903
unknown,B789,76BD49,B789,9V-OJI,TR,TGW,TPE,RCTP,NRT,RJAA,TR899,TGW899,899,1600.2,210.0,25.028,120.974,424.108,0.0,0.0,,1762331903
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,T7FIS,XXF,8534.4,317.0,-14.5464,18.3826,481.52,0.0,0.0,,1762331903
unknown,B39M,0C210E,B39M,HP-9913CMP,CM,CMP,PTY,MPTO,SCL,SCEL,CM475,CMP475,475,10363.2,343.0,-22.9796,-74.8955,18.52,0.0,0.0,,1762331903
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,B10XH,XXF,1508.76,301.0,30.4234,105.439,212.98,0.0,0.0,,1762331903
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,ICNTL,XXF,365.76,91.0,45.6933,9.575,170.384,0.0,0.0,,1762331903
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,5YZBY,XXF,3505.2,123.0,-0.7094,38.6082,296.32,0.0,0.0,,1762331903
unknown,B738,781502,B738,B-206E,BK,OKA,NNG,ZGNN,HFE,ZSOF,BK3265,OKA3265,3265,1546.86,200.0,22.7199,108.055,611.16,0.0,0.0,,1762331903
unknown,F50,4AB4D2,F50,SE-MFR,HP,APF,MHQ,EFMA,ARN,ESSA,HP282,APF282,282,365.76,195.0,60.1714,19.9417,224.092,0.0,0.0,,1762331903
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,OKHEJ,XXF,457.2,22.0,49.9088,18.0264,192.608,0.0,0.0,,1762331903
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,5,XXF,13716.0,145.0,4.1815,-88.1172,855.624,0.0,0.0,,1762331903
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,BEL93B,XXF,1021.08,77.0,51.2118,2.9557,329.656,0.0,0.0,,1762331903
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,BAF350,XXF,830.58,353.0,43.8252,5.2563,281.504,0.0,0.0,,1762331903
unknown,A20N,781FE8,A20N,B-32FJ,CA,CCA,JHG,ZPJH,PEK,ZBAA,CA1423,CCA1423,1423,670.56,160.0,21.9981,100.753,257.428,0.0,0.0,,1762331903
unknown,B738,80044E,B738,VT-AYD,IX,AXB,TRV,VOTV,DMM,OEDF,IX582,AXB582,582,11277.6,125.0,18.3901,62.7829,831.548,0.0,0.0,,1762331903
unknown,A20N,7820F6,A20N,B-32H8,HU,CHH,KMG,ZPPP,HAK,ZJHK,HU7093,CHH7093,7093,2171.7,219.0,25.1344,102.969,244.464,0.0,0.0,,1762331903
unknown,DH8D,898130,DH8D,P2-PXQ,PX,ANG,POM,AYPY,GKA,AYGA,PX165,PXQ,165,152.4,328.0,-9.4574,147.23,216.684,0.0,0.0,,1762331903
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,M10304,XXF,342.9,73.0,6.1327,100.561,177.792,0.0,0.0,,1762331903
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,AXM6432,XXF,388.62,100.0,6.1772,102.232,274.096,0.0,0.0,,1762331903
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,B70M8,XXF,1790.7,315.0,29.892,103.722,201.868,0.0,0.0,,1762331903
unknown,A21N,80171A,A21N,VT-IRY,6E,IGO,SXR,VISR,ATQ,VIAR,6E6288,IGO6288,6288,2346.96,316.0,33.8622,74.9183,344.472,0.0,0.0,,1762331903
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,B10ZK,XXF,2080.26,166.0,34.3888,112.513,238.908,0.0,0.0,,1762331903
unknown,XXA,XXC,XXA,XXB,,,,,,,XXD,B10XA,XXF,1706.88,130.0,30.966,104.302,233.352,0.0,0.0,,1762331903
unknown,A20N,80156D,A20N,VT-IPN,6E,IGO,COK,VOCI,MAA,VOMM,6E447,IGO447,447,106.68,267.0,10.152,76.4234,242.612,0.0,0.0,,1762331903
unknown,B38M,7817FE,B38M,B-20DU,MF,CXA,XMN,ZSAM,BKK,VTBS,MF854,CXA854,854,861.06,51.0,24.4464,117.991,292.616,0.0,0.0,,1762331903
unknown,E195,48ADA0,E195,SP-LNA,LO,LOT,GVA,LSGG,WAW,EPWA,LO417,LOT4KV,417,350.52,226.0,46.2502,6.1268,253.724,0.0,0.0,,1762331903
unknown,AJ27,781ECD,AJ27,B-653N,MU,CES,DSN,ZBDS,SJW,ZBSJ,MU9029,CES9029,9029,6614.16,322.0,37.9541,111.406,37.04,0.0,0.0,,1762331903
unknown,A320,780768,A320,B-6783,CZ,CSN,XIY,ZLXY,CAN,ZGGG,CZ3207,CSN3207,3207,1501.14,317.0,34.225,108.581,379.66,0.0,0.0,,1762331903
unknown,A320,780DDE,A320,B-1665,3U,CSC,CTU,ZUUU,URC,ZWWW,3U8572,CSC8572,8572,1874.52,170.0,30.3501,103.723,392.624,0.0,0.0,,1762331903
unknown,A20N,781EA6,A20N,B-32CW,MU,CES,TAO,ZSQD,KMG,ZPPP,MU5686,CES5686,5686,594.36,163.0,36.4753,120.031,296.32,0.0,0.0,,1762331903
