GMT,airportId,codeIataAirport,codeIataCity,codeIcaoAirport,codeIso2Country,geonameId,latitudeAirport,longitudeAirport,nameAirport,nameCountry,phone,timezone
4.30,727,BIN,BIN,OABN,AF,7668387,34.80417,67.82361,Bamiyan,Afghanistan,,Asia/Kabul
4.30,962,BST,BST,OABT,AF,0,31.55,64.36667,Bost,Afghanistan,,Asia/Kabul
4.30,1186,CCN,CCN,OACC,AF,7668388,34.533333,65.26667,Chakcharan,Afghanistan,,Asia/Kabul
4.30,1704,DAZ,DAZ,OADZ,AF,7730737,38.466667,70.88333,Darwaz,Afghanistan,,Asia/Kabul
4.30,1965,DWR,DWR,,AF,0,0.0,0.0,Dwyer Air Base,Afghanistan,,Asia/Kabul
4.30,2251,FAH,FAH,OAFR,AF,1454265,32.36667,62.11667,Farah,Afghanistan,,Asia/Kabul
4.30,2266,FBD,FBD,OAFZ,AF,6300000,37.1,70.566666,Faizabad,Afghanistan,,Asia/Kabul
4.30,2722,GRG,GRG,,AF,8299251,33.61667,69.11667,Gardez,Afghanistan,,Asia/Kabul
4.30,2834,GZI,GZI,,AF,1141269,33.0,68.416664,Ghazni,Afghanistan,,Asia/Kabul
4.30,2897,HEA,HEA,OAHR,AF,0,34.212696,62.22599,Herat,Afghanistan,,Asia/Kabul
4.30,3430,JAA,JAA,OAJL,AF,1453109,34.433334,70.46667,Jalalabad,Afghanistan,,Asia/Kabul
4.30,3699,KBL,KBL,OAKB,AF,1454002,34.56069,69.21152,Khwaja Rawash,Afghanistan,,Asia/Kabul
4.30,3741,KDH,KDH,OAKN,AF,0,31.506945,65.8475,Kandahar,Afghanistan,,Asia/Kabul
4.30,3828,KHT,KHT,,AF,0,35.0,72.0,Khost,Afghanistan,,Asia/Kabul
4.30,4094,KUR,KUR,,AF,8299086,38.4,71.11667,Kuran-O-Munjan,Afghanistan,,Asia/Kabul
4.30,4120,KWH,KWH,OAHN,AF,7730738,33.916668,66.333336,Khwahan,Afghanistan,,Asia/Kabul
4.30,4489,LQN,LQN,OAQN,AF,7668389,34.95,63.666668,Qala Nau,Afghanistan,,Asia/Kabul
4.30,4969,MMZ,MMZ,OAMN,AF,0,35.916668,64.73333,Maimana,Afghanistan,,Asia/Kabul
4.30,5282,MZR,MZR,OAMS,AF,6252379,36.70919,67.20849,Mazar-i-sharif,Afghanistan,,Asia/Kabul
4.30,5626,OAA,OAA,,AF,0,0.0,0.0,Shank Air Base,Afghanistan,,Asia/Kabul
4.30,5628,OAH,OAH,,AF,0,0.0,0.0,Shindand Air Base,Afghanistan,,Asia/Kabul
4.30,5629,OAI,OAI,OAIX,AF,0,34.959614,69.27051,Bagram,Afghanistan,,Asia/Kabul
4.30,5636,OAS,OAS,,AF,8298993,33.1258,68.8386,Sharana Air Base,Afghanistan,,Asia/Kabul
4.30,5638,OAZ,OAZ,OAZJ,AF,0,31.1,61.983334,Camp Bastion,Afghanistan,,Asia/Kabul
4.30,5759,OLR,OLR,,AF,0,34.023167,36.130333,Salerno Air Base,Afghanistan,,Asia/Kabul
4.30,6937,SBF,SBF,OADS,AF,1127289,33.61667,68.53333,Sardeh Band,Afghanistan,,Asia/Kabul
