GMT,cityId,codeIataCity,codeIso2Country,geonameId,latitudeCity,longitudeCity,nameCity,timezone
4,13,AAN,AE,292913,24.2075,55.744722,Al Ain,Asia/Dubai
4,425,AUH,AE,292968,24.466667,54.366667,Abu Dhabi,Asia/Dubai
4,1902,DXB,AE,292223,25.264444,55.311667,Dubai,Asia/Dubai
4,2239,FJR,AE,292878,25.109444,56.330555,Al-fujairah,Asia/Dubai
4,6396,RKT,AE,292223,25.616198,55.943695,Ras Al Khaimah,Asia/Dubai
4,6727,SHJ,AE,292672,25.320873,55.52029,Sharjah,Asia/Dubai
4.30,710,BIN,AF,0,34.80417,67.82361,Bamiyan,Asia/Kabul
4.30,942,BST,AF,0,31.55,64.36667,Bost,Asia/Kabul
4.30,1163,CCN,AF,0,34.533333,65.26667,Chakcharan,Asia/Kabul
4.30,1655,DAZ,AF,0,38.466667,70.88333,Darwaz,Asia/Kabul
4.30,1901,DWR,AF,0,0.0,0.0,Dwyer,Asia/Kabul
4.30,2170,FAH,AF,0,32.36667,62.11667,Farah,Asia/Kabul
4.30,2186,FBD,AF,0,37.1,70.566666,Faizabad,Asia/Kabul
4.30,2617,GRG,AF,0,33.61667,69.11667,Gardez,Asia/Kabul
4.30,2727,GZI,AF,1141269,33.0,68.416664,Ghazni,Asia/Kabul
4.30,2789,HEA,AF,0,34.212696,62.22599,Herat,Asia/Kabul
4.30,3289,JAA,AF,0,34.433334,70.46667,Jalalabad,Asia/Kabul
4.30,3502,KBL,AF,1138958,34.56069,69.21152,Kabul,Asia/Kabul
4.30,3540,KDH,AF,0,31.506945,65.8475,Kandahar,Asia/Kabul
4.30,3625,KHT,AF,0,35.0,72.0,Khost,Asia/Kabul
4.30,3894,KUR,AF,0,38.4,71.11667,Kuran-O-Munjan,Asia/Kabul
4.30,3920,KWH,AF,0,33.916668,66.333336,Khwahan,Asia/Kabul
4.30,4275,LQN,AF,0,34.95,63.666668,Qala Nau,Asia/Kabul
4.30,4725,MMZ,AF,0,35.916668,64.73333,Maimana,Asia/Kabul
4.30,5034,MZR,AF,0,36.70919,67.20849,Mazar-i-sharif,Asia/Kabul
4.30,5346,OAA,AF,0,0.0,0.0,Shank,Asia/Kabul
4.30,5348,OAH,AF,0,0.0,0.0,Shindand,Asia/Kabul
4.30,5349,OAI,AF,0,34.959614,69.27051,Bagram,Asia/Kabul
4.30,5355,OAS,AF,0,33.1258,68.8386,Sharana,Asia/Kabul
4.30,5357,OAZ,AF,0,31.1,61.983334,Camp Bastion,Asia/Kabul
4.30,5476,OLR,AF,0,34.023167,36.130333,Salerno,Asia/Kabul
4.30,6589,SBF,AF,1127289,33.61667,68.53333,Sardeh Band,Asia/Kabul
4.30,6694,SGA,AF,0,38.033333,71.71667,Sheghnan,Asia/Kabul
4.30,7346,TII,AF,0,32.86667,65.63333,Tirinkot,Asia/Kabul
4.30,7517,TQN,AF,0,36.766666,69.53333,Taluqan,Asia/Kabul
4.30,7765,UND,AF,1135689,36.660557,68.909164,Kunduz,Asia/Kabul
4.30,7796,URN,AF,0,32.95,69.183334,Urgoon,Asia/Kabul
4.30,7803,URZ,AF,0,32.9,66.61667,Uruzgan,Asia/Kabul
4.30,9063,ZAJ,AF,1120985,31.1,61.983334,Zaranj,Asia/Kabul
-4,287,ANU,AG,3576022,17.108334,-61.76389,St. John's,America/Antigua
-4,547,BBQ,AG,0,17.555555,-61.765,Barbuda,America/Antigua
-4,465,AXA,AI,3573374,18.216667,-63.066666,Anguilla,America/Anguilla
1,7338,TIA,AL,3183875,41.419132,19.71328,Tirana,Europe/Tirane
4,2141,EVN,AM,616052,40.15272,44.39805,Yerevan,Asia/Yerevan
4,4380,LWN,AM,616635,40.716667,43.833332,Gyoumri,Asia/Yerevan
1,278,ANL,AO,0,-11.25,17.25,Andulo,Africa/Luanda
1,366,ARZ,AO,0,-7.5,13.5,N'zeto,Africa/Luanda
1,509,AZZ,AO,0,-7.883333,13.15,Ambriz,Africa/Luanda
1,980,BUG,AO,0,-12.606389,13.405556,Benguela,Africa/Luanda
