status,aircraft.iataCode,aircraft.icao24,aircraft.icaoCode,aircraft.regNumber,airline.iataCode,airline.icaoCode,arrival.iataCode,arrival.icaoCode,departure.iataCode,departure.icaoCode,flight.iataNumber,flight.icaoNumber,flight.number,geography.altitude,geography.direction,geography.latitude,geography.longitude,speed.horizontal,speed.isGround,speed.vspeed,system.squawk,system.updated
en-route,B789,AB3856,B789,N822AN,AA,AAL,LAX,KLAX,HND,RJTT,AA170,AAL170,170,11276.4,92.0,48.2424,-167.85,1037.12,0.0,0.0,,1763109113
en-route,B789,AB30E6,B789,N820AL,AA,AAL,HND,RJTT,LAX,KLAX,AA169,AAL169,169,5577.84,309.0,34.0117,-118.896,801.916,0.0,0.0,,1763109133
,A321,A0428A,A321,N116AN,AA,AAL,BOS,KBOS,LAX,KLAX,AA2453,AAL2453,2453,10660.4,84.0,41.5285,-96.5928,929.704,0.0,0.0,,1763109097
en-route,A321,A098F6,A321,N138AN,AA,AAL,CLT,KCLT,SLC,KSLC,AA2298,AAL2298,2298,10668.0,102.0,38.4827,-95.9949,972.3,0.0,0.0,,1763109055
,A21N,A526E2,A21N,N431AN,AA,AAL,PHL,KPHL,SEA,KSEA,AA2361,AAL2361,2361,10668.0,80.0,48.3578,-111.335,938.964,0.0,0.0,,1763109117
en-route,A21N,A4BB8A,A21N,N404AN,AA,AAL,PHX,KPHX,KOA,PHKO,AA664,AAL664,664,8839.2,62.0,21.8081,-150.918,842.66,0.0,0.0,,1763109074
started,B38M,A37EC4,B38M,N324SH,AA,AAL,MIA,KMIA,SFO,KSFO,AA1665,AAL1665,1665,0.0,89.0,37.6061,-122.384,0.0,1.0,0.0,,1763109078
en-route,B38M,A33EB5,B38M,N308TB,AA,AAL,DFW,KDFW,BOG,SKBO,AA1122,AAL1122,1122,10972.8,328.0,19.3084,-86.3339,814.88,0.0,0.0,,1763109129
en-route,A321,A6CC45,A321,N537UW,AA,AAL,SJU,TJSJ,DFW,KDFW,AA702,AAL702,702,10073.6,129.0,20.3307,-69.0469,927.852,0.0,0.0,,1763109155
en-route,B789,AB3FC4,B789,N824AN,AA,AAL,DOH,OTHH,PHL,KPHL,AA120,AAL120,120,11879.6,98.0,36.152,10.6113,914.888,0.0,0.0,,1763109089
en-route,B789,AB6EA5,B789,N836AA,AA,AAL,PHL,KPHL,DOH,OTHH,AA121,AAL121,121,12193.2,290.0,55.076,-20.387,909.332,0.0,0.0,,1763109132
en-route,B77W,A9A750,B77W,N721AN,AA,AAL,SYD,YSSY,LAX,KLAX,AA73,AAL73,73,9145.22,330.0,31.9041,-125.978,714.872,0.0,0.0,,1763109130
