status,aircraft.iataCode,aircraft.icao24,aircraft.icaoCode,aircraft.regNumber,airline.iataCode,airline.icaoCode,arrival.iataCode,arrival.icaoCode,departure.iataCode,departure.icaoCode,flight.iataNumber,flight.icaoNumber,flight.number,geography.altitude,geography.direction,geography.latitude,geography.longitude,speed.horizontal,speed.isGround,speed.vspeed,system.squawk,system.updated
en-route,A359,888152,A359,VN-A896,VN,HVN,HAN,VVNB,CDG,LFPG,VN18,HVN18,18,11277.6,102.0,39.9393,49.9033,998.228,0.0,0.0,,1762535113
en-route,B789,8880E2,B789,VN-A864,VN,HVN,HAN,VVNB,FRA,EDDF,VN36,HVN36,36,11270.0,100.0,40.5004,46.3322,970.448,0.0,0.0,,1762535113
en-route,A359,888153,A359,VN-A897,VN,HVN,SGN,VVTS,CDG,LFPG,VN10,HVN10,10,11887.2,127.0,37.4123,60.1383,1035.27,0.0,0.0,,1762535116
en-route,A359,88812D,A359,VN-A892,VN,HVN,SYD,YSSY,SGN,VVTS,VN773,HVN773,773,11887.2,137.0,-0.9047,120.346,859.328,0.0,0.0,,1762535108
en-route,A20N,8881F6,A20N,VN-A515,VN,HVN,SGN,VVTS,THD,VVTX,VN1279,HVN1279,1279,9608.82,173.0,12.6011,108.027,877.848,0.0,0.0,,1762535108
,B78X,88818E,B78X,VN-A879,VN,HVN,HAN,VVNB,SGN,VVTS,VN260,HVN260,260,11879.6,339.0,18.4376,106.44,957.484,0.0,0.0,,1762535122
en-route,A321,8880A1,A321,VN-A393,VN,HVN,SGN,VVTS,HPH,VVCI,VN1187,HVN1187,1187,10698.5,181.0,12.8437,108.127,855.624,0.0,0.0,,1762535108
en-route,A359,888124,A359,VN-A891,VN,HVN,MEL,YMML,SGN,VVTS,VN781,HVN781,781,11887.2,150.0,-6.7923,113.969,868.588,0.0,0.0,,1762535084
en-route,A321,88812C,A321,VN-A398,VN,HVN,SGN,VVTS,HUI,VVPB,VN1377,HVN1377,1377,1554.48,244.0,10.9527,106.965,453.74,0.0,0.0,,1762535109
en-route,A321,8880F1,A321,VN-A615,VN,HVN,ICN,RKSI,CXR,VVCR,VN440,HVN440,440,10050.8,37.0,24.3831,120.875,888.96,0.0,0.0,,1762535122
landed,A321,8880AE,A321,VN-A603,VN,HVN,SGN,VVTS,THD,VVTX,VN1269,HVN1269,1269,0.0,174.0,10.8137,106.655,14.816,1.0,0.0,,1762535109
