status,type,aircraft.icao24,aircraft.icaoCode,aircraft.regNumber,airline.iataCode,airline.icaoCode,airline.name,arrival.actualRunway,arrival.actualTime,arrival.baggage,arrival.delay,arrival.estimatedRunway,arrival.estimatedTime,arrival.gate,arrival.iataCode,arrival.icaoCode,arrival.scheduledTime,arrival.terminal,codeshared.airline.iataCode,codeshared.airline.icaoCode,codeshared.airline.name,codeshared.flight.iataNumber,codeshared.flight.icaoNumber,codeshared.flight.number,departure.actualRunway,departure.actualTime,departure.baggage,departure.delay,departure.estimatedRunway,departure.estimatedTime,departure.gate,departure.iataCode,departure.icaoCode,departure.scheduledTime,departure.terminal,flight.iataNumber,flight.icaoNumber,flight.number,codeshared
landed,arrival,040188,B789,ET-AXL,NH,ANA,ANA,2025-11-14T12:20:00.000,2025-11-14T12:20:00.000,20,,2025-11-14T12:20:00.000,2025-11-14T12:18:00.000,S119,BKK,VTBS,2025-11-14T12:30:00.000,1,et,eth,ethiopian airlines,et608,eth608,608,2025-11-14T00:30:00.000,2025-11-14T00:30:00.000,,35,2025-11-14T00:30:00.000,,,ADD,HAAB,2025-11-13T23:55:00.000,2,NH5344,ANA5344,5344,
landed,arrival,040188,B789,ET-AXL,SQ,SIA,Singapore Airlines,2025-11-14T12:20:00.000,2025-11-14T12:20:00.000,20,,2025-11-14T12:20:00.000,2025-11-14T12:18:00.000,S119,BKK,VTBS,2025-11-14T12:30:00.000,1,et,eth,ethiopian airlines,et608,eth608,608,2025-11-14T00:30:00.000,2025-11-14T00:30:00.000,,35,2025-11-14T00:30:00.000,,,ADD,HAAB,2025-11-13T23:55:00.000,2,SQ6078,SIA6078,6078,
landed,arrival,040188,B789,ET-AXL,ET,ETH,Ethiopian Airlines,2025-11-14T12:20:00.000,2025-11-14T12:20:00.000,20,,2025-11-14T12:20:00.000,2025-11-14T12:18:00.000,S119,BKK,VTBS,2025-11-14T12:30:00.000,1,,,,,,,2025-11-14T00:30:00.000,2025-11-14T00:30:00.000,,35,2025-11-14T00:30:00.000,,,ADD,HAAB,2025-11-13T23:55:00.000,2,ET608,ETH608,608,
landed,arrival,040188,B789,ET-AXL,OZ,AAR,Asiana Airlines,2025-11-14T12:20:00.000,2025-11-14T12:20:00.000,20,,2025-11-14T12:20:00.000,2025-11-14T12:18:00.000,S119,BKK,VTBS,2025-11-14T12:30:00.000,1,et,eth,ethiopian airlines,et608,eth608,608,2025-11-14T00:30:00.000,2025-11-14T00:30:00.000,,35,2025-11-14T00:30:00.000,,,ADD,HAAB,2025-11-13T23:55:00.000,2,OZ9766,AAR9766,9766,
landed,arrival,4CAC16,A21N,EI-KGG,JL,JTL,Jet Linx Aviation,2025-11-14T08:35:00.000,2025-11-14T08:35:00.000,8,,2025-11-14T08:35:00.000,2025-11-14T08:35:00.000,D8,BKK,VTBS,2025-11-14T08:55:00.000,1,kc,kzr,air astana,kc931,kzr931,931,2025-11-14T00:18:00.000,2025-11-14T00:18:00.000,,3,2025-11-14T00:18:00.000,,,ALA,UAAA,2025-11-14T00:15:00.000,2,JL4784,JTL4784,4784,
landed,arrival,4CAC16,A21N,EI-KGG,CX,CPA,Cathay Pacific,2025-11-14T08:35:00.000,2025-11-14T08:35:00.000,8,,2025-11-14T08:35:00.000,2025-11-14T08:35:00.000,D8,BKK,VTBS,2025-11-14T08:55:00.000,1,kc,kzr,air astana,kc931,kzr931,931,2025-11-14T00:18:00.000,2025-11-14T00:18:00.000,,3,2025-11-14T00:18:00.000,,,ALA,UAAA,2025-11-14T00:15:00.000,2,CX6235,CPA6235,6235,
landed,arrival,4CAC16,A21N,EI-KGG,KC,KZR,Air Astana,2025-11-14T08:35:00.000,2025-11-14T08:35:00.000,8,,2025-11-14T08:35:00.000,2025-11-14T08:35:00.000,D8,BKK,VTBS,2025-11-14T08:55:00.000,1,,,,,,,2025-11-14T00:18:00.000,2025-11-14T00:18:00.000,,3,2025-11-14T00:18:00.000,,,ALA,UAAA,2025-11-14T00:15:00.000,2,KC931,KZR931,931,
landed,arrival,4851F5,B77W,PH-BVR,AF,AFR,Air France,2025-11-14T09:56:00.000,2025-11-14T09:56:00.000,17,,2025-11-14T09:56:00.000,2025-11-14T09:46:00.000,E7,BKK,VTBS,2025-11-14T10:05:00.000,1,kl,klm,klm,kl843,klm843,843,2025-11-13T17:21:00.000,2025-11-13T17:21:00.000,,22,2025-11-13T17:21:00.000,,9,AMS,EHAM,2025-11-13T17:00:00.000,,AF3237,AFR3237,3237,
landed,arrival,4851F5,B77W,PH-BVR,QF,QFA,Qantas,2025-11-14T09:56:00.000,2025-11-14T09:56:00.000,17,,2025-11-14T09:56:00.000,2025-11-14T09:46:00.000,E7,BKK,VTBS,2025-11-14T10:05:00.000,1,kl,klm,klm,kl843,klm843,843,2025-11-13T17:21:00.000,2025-11-13T17:21:00.000,,22,2025-11-13T17:21:00.000,,9,AMS,EHAM,2025-11-13T17:00:00.000,,QF4232,QFA4232,4232,
landed,arrival,899037,B77W,B-16732,TG,THA,Thai Airways International,2025-11-14T14:42:00.000,2025-11-14T14:42:00.000,16,2,2025-11-14T14:42:00.000,2025-11-14T14:40:00.000,E7,BKK,VTBS,2025-11-14T14:40:00.000,1,br,eva,eva air,br76,eva76,76,2025-11-13T22:01:00.000,2025-11-13T22:01:00.000,,42,2025-11-13T22:01:00.000,2025-11-13T21:39:00.000,28,AMS,EHAM,2025-11-13T21:20:00.000,,TG6385,THA6385,6385,
