status,aircraft.iataCode,aircraft.icao24,aircraft.icaoCode,aircraft.regNumber,airline.iataCode,airline.icaoCode,arrival.iataCode,arrival.icaoCode,departure.iataCode,departure.icaoCode,flight.iataNumber,flight.icaoNumber,flight.number,geography.altitude,geography.direction,geography.latitude,geography.longitude,speed.horizontal,speed.isGround,speed.vspeed,system.squawk,system.updated
en-route,B789,8880F8,B789,VN-A868,VN,HVN,HAN,VVNB,SGN,VVTS,VN218,HVN218,218,11879.6,2.0,14.1977,107.807,920.444,0.0,0.0,,1763121571
en-route,A321,8880A3,A321,VN-A395,VN,HVN,TPE,RCTP,SGN,VVTS,VN570,HVN570,570,10066.0,63.0,20.7091,116.502,903.776,0.0,0.0,,1763121570
en-route,A359,888152,A359,VN-A896,VN,HVN,SGN,VVTS,CDG,LFPG,VN10,HVN10,10,11277.6,97.0,50.0629,10.6315,988.968,0.0,0.0,5606,1763121627
en-route,A359,88812D,A359,VN-A892,VN,HVN,HAN,VVNB,ICN,RKSI,VN415,HVN415,415,12222.5,248.0,29.3102,119.042,779.692,0.0,0.0,,1763121578
landed,A321,8880B3,A321,VN-A604,VN,HVN,SGN,VVTS,PXU,VVPK,VN1423,HVN1423,1423,0.0,146.0,10.8126,106.653,14.816,1.0,0.0,,1763121566
en-route,A359,888124,A359,VN-A891,VN,HVN,HAN,VVNB,HND,RJTT,VN385,HVN385,385,12222.5,213.0,23.5669,113.464,851.92,0.0,0.0,,1763121554
en-route,A359,888138,A359,VN-A893,VN,HVN,SGN,VVTS,SFO,KSFO,VN99,HVN99,99,11582.4,251.0,50.7787,170.84,777.84,0.0,0.0,,1763121577
en-route,B78X,888187,B78X,VN-A872,VN,HVN,SGN,VVTS,HAN,VVNB,VN259,HVN259,259,10972.8,155.0,17.3496,107.574,918.592,0.0,0.0,,1763121572
en-route,A321,8880A1,A321,VN-A393,VN,HVN,KHH,RCKH,SGN,VVTS,VN580,HVN580,580,8831.58,42.0,12.6166,107.79,842.66,0.0,0.0,,1763121571
en-route,A321,8880AD,A321,VN-A602,VN,HVN,HAN,VVNB,SAI,VDSA,VN836,HVN836,836,7940.04,352.0,19.4042,105.776,885.256,0.0,0.0,,1763121572
en-route,B789,8880E3,B789,VN-A865,VN,HVN,BOM,VABB,SGN,VVTS,VN979,HVN979,979,11574.8,279.87,14.0476,98.9806,907.956,0.0,0.0,,1763121585
en-route,A321,8880C6,A321,VN-A610,VN,HVN,SGN,VVTS,ICN,RKSI,VN403,HVN403,403,9745.98,224.38,20.9795,119.859,844.704,0.0,0.0,4136,1763121587
en-route,A321,8880B4,A321,VN-A605,VN,HVN,VTE,VLVT,KTI,VDKT,VN920,HVN920,920,10668.0,314.0,16.8734,103.76,863.032,0.0,0.0,,1763121573
landed,A21N,888176,A21N,VN-A501,VN,HVN,LPQ,VLLB,SAI,VDSA,VN930,HVN930,930,0.0,137.0,19.9018,102.168,0.0,1.0,0.0,,1763121293
en-route,A21N,888198,A21N,VN-A512,VN,HVN,SGN,VVTS,VCL,VVCA,VN1469,HVN1469,1469,7025.64,234.0,11.6173,108.263,764.876,0.0,0.0,,1763121572
en-route,A321,888052,A321,VN-A356,VN,HVN,HAN,VVNB,DAD,VVDN,VN174,HVN174,174,4366.26,359.32,20.5439,105.641,622.332,0.0,-17.568,,1763121590
unknown,A321,8880A5,A321,VN-A397,VN,HVN,CXR,VVCR,HAN,VVNB,VN1563,HVN1563,1563,5707.38,163.0,12.7027,109.281,748.208,0.0,0.0,,1763120728
unknown,A321,888099,A321,VN-A335,VN,HVN,HUI,VVPB,HAN,VVNB,VN1545,HVN1545,1545,1211.58,173.0,16.5061,107.898,401.884,0.0,0.0,,1763121749
en-route,A20N,8881F6,A20N,VN-A515,VN,HVN,SGN,VVTS,THD,VVTX,VN1267,HVN1267,1267,6408.42,217.0,11.7075,107.802,742.652,0.0,0.0,,1763121572
en-route,B78X,88818C,B78X,VN-A877,VN,HVN,SGN,VVTS,HAN,VVNB,VN217,HVN217,217,3017.52,231.0,11.2262,107.334,725.984,0.0,0.0,,1763121572
unknown,B789,8880E2,B789,VN-A864,VN,HVN,HAN,VVNB,SGN,VVTS,VN254,HVN254,254,0.0,106.0,21.223,105.801,261.132,0.0,0.0,,1763121749
en-route,A321,8880CA,A321,VN-A611,VN,HVN,VCA,VVCT,HAN,VVNB,VN1207,HVN1207,1207,9753.6,162.0,16.8869,107.609,840.808,0.0,0.0,,1763121572
,A321,888054,A321,VN-A358,VN,HVN,CXR,VVCR,HAN,VVNB,VN7569,HVN7569,7569,9136.38,167.0,14.1124,109.007,851.92,0.0,0.0,,1763121571
en-route,B789,8880E0,B789,VN-A862,VN,HVN,HAN,VVNB,LHR,EGLL,VN56,HVN56,56,11277.6,99.0,52.0184,5.8972,985.264,0.0,0.0,4656,1763121628
en-route,A359,888168,A359,VN-A899,VN,HVN,HAN,VVNB,SGN,VVTS,VN252,HVN252,252,7528.56,334.6,19.9617,105.88,777.06,0.0,-31.608,,1763121586
en-route,B789,888129,B789,VN-A869,VN,HVN,SGN,VVTS,HAN,VVNB,VN257,HVN257,257,9745.98,181.0,13.0126,108.131,946.372,0.0,0.0,,1763121573
landed,A321,888051,A321,VN-A354,VN,HVN,SGN,VVTS,HPH,VVCI,VN6441,PIC6441,6441,0.0,340.0,10.8137,106.652,0.0,1.0,0.0,,1763121529
en-route,A21N,888194,A21N,VN-A508,VN,HVN,KTI,VDKT,HAN,VVNB,VN923,HVN923,923,6263.64,196.0,12.0694,104.879,800.064,0.0,0.0,,1763121571
unknown,A321,88812C,A321,VN-A398,VN,HVN,SIN,WSSS,SGN,VVTS,VN657,HVN657,657,0.0,182.0,1.3575,103.983,20.372,1.0,0.0,,1763121331
landed,A20N,8881B5,A20N,VN-A513,VN,HVN,DAD,VVDN,HAN,VVNB,VN187,HVN187,187,0.0,81.0,16.054,108.202,0.0,1.0,0.0,,1763121569
