status,aircraft.iataCode,aircraft.icao24,aircraft.icaoCode,aircraft.regNumber,airline.iataCode,airline.icaoCode,arrival.iataCode,arrival.icaoCode,departure.iataCode,departure.icaoCode,flight.iataNumber,flight.icaoNumber,flight.number,geography.altitude,geography.direction,geography.latitude,geography.longitude,speed.horizontal,speed.isGround,speed.vspeed,system.squawk,system.updated
en-route,A359,88812D,A359,VN-A892,VN,HVN,SGN,VVTS,SYD,YSSY,VN772,HVN772,772,12192.0,316.0,-1.9461,121.353,924.148,0.0,0.0,,1762584545
en-route,A359,888124,A359,VN-A891,VN,HVN,SGN,VVTS,MEL,YMML,VN780,HVN780,780,13106.4,327.0,1.0895,118.742,894.516,0.0,0.0,,1762584569
en-route,B789,8880DF,B789,VN-A861,VN,HVN,LHR,EGLL,SGN,VVTS,VN51,HVN51,51,12192.0,291.0,47.5333,17.5747,924.148,0.0,0.0,3250,1762584570
landed,B78X,888188,B78X,VN-A873,VN,HVN,SGN,VVTS,ICN,RKSI,VN409,HVN409,409,0.0,160.0,10.8119,106.652,0.0,1.0,0.0,,1762584342
en-route,A321,88812C,A321,VN-A398,VN,HVN,ICN,RKSI,SGN,VVTS,VN402,HVN402,402,10668.0,4.0,34.1864,126.764,818.584,0.0,0.0,,1762584567
unknown,A21N,888194,A21N,VN-A508,VN,HVN,CXR,VVCR,HAN,VVNB,VN1553,HVN1553,1553,3131.82,168.0,12.1321,109.367,535.228,0.0,0.0,,1762584500
en-route,A359,888153,A359,VN-A897,VN,HVN,ICN,RKSI,HAN,VVNB,VN414,HVN414,414,12504.4,74.0,31.0589,122.956,1026.01,0.0,0.0,,1762584545
en-route,A359,8880E6,A359,VN-A888,VN,HVN,HAN,VVNB,SYD,YSSY,VN786,HVN786,786,11582.4,320.0,-24.4741,140.374,751.912,0.0,0.0,,1762584537
unknown,A321,88808E,A321,VN-A327,VN,HVN,HAN,VVNB,DAD,VVDN,VN166,HVN166,166,22.86,107.0,21.2246,105.795,251.872,0.0,0.0,,1762583539
en-route,A321,88809D,A321,VN-A390,VN,HVN,TBB,VVTH,HAN,VVNB,VN1651,HVN1651,1651,6118.86,174.0,13.9431,109.045,663.016,0.0,0.0,,1762584570
en-route,B78X,888189,B78X,VN-A874,VN,HVN,SGN,VVTS,HAN,VVNB,VN251,HVN251,251,5257.8,210.0,11.3455,107.581,666.72,0.0,0.0,,1762584570
en-route,A21N,888185,A21N,VN-A507,VN,HVN,HAN,VVNB,BKK,VTBS,VN610,HVN610,610,10287.0,24.0,17.5223,102.71,874.144,0.0,0.0,,1762584569
en-route,A20N,8881B5,A20N,VN-A513,VN,HVN,DLI,VVDL,HAN,VVNB,VN1575,HVN1575,1575,2080.26,176.0,11.787,108.159,372.252,0.0,0.0,,1762584306
