code,name
11,VANGUARD 2
12,VANGUARD R/B
20,VANGUARD 3
22,EXPLORER 7
29,TIROS 1
45,TRANSIT 2A
46,SOLRAD 1 (GREB)
47,THOR ABLESTAR R/B
50,DELTA 1 R/B
51,ECHO 1 DEB (METAL OBJ)
53,ECHO 1 DEB (METAL OBJ)
58,COURIER 1B
59,THOR ABLESTAR R/B
82,SCOUT X-1 R/B
85,SCOUT X-1 DEB
107,EXPLORER 11
115,THOR ABLE DEB (YO)
116,TRANSIT 4A
117,SOLRAD 3/INJUN 1
118,THOR ABLESTAR R/B
119,THOR ABLESTAR DEB
120,THOR ABLESTAR DEB
121,THOR ABLESTAR DEB
122,THOR ABLESTAR DEB
123,THOR ABLESTAR DEB
124,THOR ABLESTAR DEB
125,THOR ABLESTAR DEB
126,THOR ABLESTAR DEB
127,THOR ABLESTAR DEB
128,THOR ABLESTAR DEB
130,THOR ABLESTAR DEB
131,THOR ABLESTAR DEB
132,THOR ABLESTAR DEB
133,THOR ABLESTAR DEB
134,THOR ABLESTAR DEB
136,THOR ABLESTAR DEB
138,THOR ABLESTAR DEB
141,THOR ABLESTAR DEB
144,THOR ABLESTAR DEB
145,THOR ABLESTAR DEB
147,THOR ABLESTAR DEB
148,THOR ABLESTAR DEB
150,THOR ABLESTAR DEB
152,THOR ABLESTAR DEB
154,THOR ABLESTAR DEB
155,THOR ABLESTAR DEB
158,THOR ABLESTAR DEB
159,THOR ABLESTAR DEB
162,TIROS 3
167,DELTA 1 DEB (YO)
172,THOR ABLESTAR DEB
177,THOR ABLESTAR DEB
178,THOR ABLESTAR DEB
202,TRANSIT 4B
204,THOR ABLESTAR R/B
205,TRAAC
210,THOR ABLESTAR DEB
223,THOR ABLESTAR DEB
224,THOR ABLESTAR DEB
225,THOR ABLESTAR DEB
226,TIROS 4
227,DELTA 1 DEB (YO)
228,DELTA 1 DEB (YO)
230,THOR ABLESTAR DEB
232,THOR ABLESTAR DEB
233,THOR ABLESTAR DEB
234,THOR ABLESTAR DEB
235,THOR ABLESTAR DEB
243,THOR ABLESTAR DEB
244,THOR ABLESTAR DEB
245,THOR ABLESTAR DEB
246,THOR ABLESTAR DEB
252,THOR ABLESTAR DEB
253,THOR ABLESTAR DEB
254,THOR ABLESTAR DEB
260,THOR ABLESTAR DEB
261,THOR ABLESTAR DEB
262,THOR ABLESTAR DEB
263,THOR ABLESTAR DEB
264,THOR ABLESTAR DEB
268,THOR ABLESTAR DEB
299,THOR ABLESTAR DEB
309,TIROS 5
312,DELTA 1 DEB (YO)
318,THOR ABLESTAR DEB
320,THOR ABLESTAR DEB
323,THOR ABLESTAR DEB
324,THOR ABLESTAR DEB
325,THOR ABLESTAR DEB
327,THOR ABLESTAR DEB
329,THOR ABLESTAR DEB
330,THOR ABLESTAR DEB
333,THOR ABLESTAR DEB
334,THOR ABLESTAR DEB
335,THOR ABLESTAR DEB
336,THOR ABLESTAR DEB
337,THOR ABLESTAR DEB
350,THOR ABLESTAR DEB
351,THOR ABLESTAR DEB
353,THOR ABLESTAR DEB
354,THOR ABLESTAR DEB
355,THOR ABLESTAR DEB
357,THOR ABLESTAR DEB
369,FTV 3502
397,TIROS 6
402,THOR ABLESTAR DEB
403,THOR ABLESTAR DEB
404,THOR ABLESTAR DEB
405,THOR ABLESTAR DEB
406,THOR ABLESTAR DEB
407,THOR ABLESTAR DEB
408,THOR ABLESTAR DEB
409,THOR ABLESTAR DEB
410,THOR ABLESTAR DEB
414,THOR ABLESTAR DEB
416,THOR ABLESTAR DEB
417,THOR ABLESTAR DEB
420,THOR ABLESTAR DEB
424,ALOUETTE 1 (S-27)
426,THOR AGENA B R/B
446,ANNA 1B
447,THOR ABLESTAR R/B
461,THOR ABLESTAR DEB
463,THOR ABLESTAR DEB
465,THOR ABLESTAR DEB
467,THOR ABLESTAR DEB
469,THOR ABLESTAR DEB
470,THOR ABLESTAR DEB
474,THOR ABLESTAR DEB
475,THOR ABLESTAR DEB
478,THOR ABLESTAR DEB
479,THOR ABLESTAR DEB
480,THOR ABLESTAR DEB
506,EXPLORER 16
510,THOR AGENA B DEB
511,THOR AGENA B DEB
516,THOR ABLESTAR DEB
530,THOR ABLESTAR DEB
537,THOR ABLESTAR DEB
538,THOR ABLESTAR DEB
541,THOR ABLESTAR DEB
543,THOR ABLESTAR DEB
544,THOR ABLESTAR DEB
545,THOR ABLESTAR DEB
548,THOR ABLESTAR DEB
549,THOR ABLESTAR DEB
552,THOR ABLESTAR DEB
558,THOR ABLESTAR DEB
559,THOR ABLESTAR DEB
560,THOR ABLESTAR DEB
561,THOR ABLESTAR DEB
614,HITCH HIKER 1
643,THOR ABLESTAR DEB
644,THOR ABLESTAR DEB
645,THOR ABLESTAR DEB
648,THOR ABLESTAR DEB
649,THOR ABLESTAR DEB
652,THOR ABLESTAR DEB
653,THOR ABLESTAR DEB
655,THOR ABLESTAR DEB
656,THOR ABLESTAR DEB
657,THOR ABLESTAR DEB
658,THOR ABLESTAR DEB
659,THOR ABLESTAR DEB
660,THOR ABLESTAR DEB
669,THOR ABLESTAR R/B
670,TRANSIT 5B-1
671,RADIATION SAT (5E 1)
672,THOR ABLESTAR DEB
694,ATLAS CENTAUR 2 R/B
698,ATLAS CENTAUR 2 DEB
700,ATLAS CENTAUR 2 DEB
701,ATLAS CENTAUR 2 DEB
703,THOR ABLESTAR R/B
704,TRANSIT 5B-2
705,TRANSIT 5E 3
706,THOR ABLESTAR DEB
715,THOR ABLESTAR DEB
716,TIROS 8
720,DELTA 1 DEB
721,SCOUT X-4 R/B
724,SCOUT X-4 DEB
727,THOR AGENA D R/B
728,GGSE 1 (GGRS)
729,SECOR 1B
730,SOLRAD 7A
731,GREB
732,SCOUT X-4 DEB
733,THOR AGENA D R/B
734,OPS 3367 A
735,OPS 3367 B
739,ATLAS CENTAUR 2 DEB
741,THOR AGENA B R/B
742,ECHO 2 DEB (METAL OBJ)
743,ECHO 2 DEB (METAL OBJ)
745,THOR ABLESTAR DEB
750,ELEKTRON 1 DEB
753,THOR ABLESTAR DEB
801,OPS 4412 (TRANSIT 9)
805,SCOUT X-4 DEB
809,SCOUT X-4 R/B
812,OPS 4467 A
813,OPS 4467 B
815,THOR AGENA D R/B
831,ELEKTRON 3 DEB
870,EXPLORER 20
871,SCOUT X-4 R/B
876,COSMOS 44
877,SL-3 R/B
893,THOR ABLESTAR R/B
897,OPS 5798 (TRANSIT 5B-4)
899,EXPLORER 22
900,CALSPHERE 1
901,OPS 5798 DEB
902,CALSPHERE 2
903,OPS 5798 DEB
907,SCOUT X-4 R/B
932,EXPLORER 25 (INJUN-4)
933,SCOUT X-4 R/B
953,THOR ABLESTAR R/B
956,THOR ABLESTAR DEB
959,OPS 6582 (TRANSIT 5E-5)
963,EXPLORER 26 (EPE-D)
965,OPS 6582 (TRANSIT 5B-5)
967,THOR ABLESTAR DEB
976,SCOUT X-4 DEB
977,SCOUT X-4 DEB
978,TIROS 9
979,DELTA 1 R/B
1099,THOR ABLESTAR DEB
1208,SECOR 3
1244,GGSE 2
1245,THOR AGENA D R/B
1271,OPS 4988 (GREB 6)
1272,PORCUPINE 1
1291,SOLRAD 7B
1292,GGSE 3
1293,OSCAR 3
1312,DELTA 1 DEB
1313,DELTA 1 DEB
1314,OPS 4682 (SNAPSHOT)
1315,SECOR 4 (EGRS 4)
1316,OPS 4682 DEB
1328,EXPLORER 27
1335,SL-8 DEB
1358,SCOUT X-4 R/B
1389,OPS 4682 DEB
1392,SL-8 DEB
1399,OPS 4682 DEB
1420,OPS 8480 (TRANSIT 5B-6)
1425,THOR ABLESTAR DEB
1428,THOR ABLESTAR R/B
1430,TIROS 10
1433,DELTA 1 R/B
1435,THOR ABLESTAR DEB
1477,SL-8 DEB
1478,SL-8 DEB
1479,SL-8 DEB
1480,SL-8 DEB
1502,SCOUT B R/B
1504,THOR ABLESTAR DEB
1506,SECOR 5 (EGRS 5)
1508,THOR ABLESTAR R/B
1510,DODECAPOLE 2
1511,THOR ABLESTAR DEB
1512,TEMPSAT 1
1514,OPS 8464 (TRANSIT 5B-7)
1515,NAVSPASUR ROD 1
1520,CALSPHERE 4(A)
1521,THOR ABLESTAR DEB
1522,THOR ABLESTAR DEB
1529,DELTA 1 DEB
1549,SL-8 DEB
1570,COSMOS 80
1571,COSMOS 81
1572,COSMOS 82
1573,COSMOS 83
1574,COSMOS 84
1575,SL-8 R/B
1576,VANGUARD DEB
1577,PORCUPINE 2
1580,OPS 8068
1583,THOR ALTAIR R/B
1584,COSMOS 86
1585,COSMOS 87
1586,COSMOS 88
1587,COSMOS 89
1588,COSMOS 90
1589,SL-8 R/B
1590,SL-8 DEB
1591,SL-8 DEB
1608,THOR ABLESTAR DEB
1613,OV1-2
1616,ATLAS D R/B
1617,SL-8 DEB
1618,SL-8 DEB
1634,SL-8 DEB
1641,OV2-1
1642,TITAN 3C TRANSTAGE DEB
1646,TITAN 3C TRANSTAGE DEB
1653,TITAN 3C TRANSTAGE DEB
1668,TITAN 3C TRANSTAGE DEB
1671,TITAN 3C TRANSTAGE DEB
1672,TITAN 3C TRANSTAGE DEB
1680,TITAN 3C TRANSTAGE DEB
1682,TITAN 3C TRANSTAGE DEB
1684,TITAN 3C TRANSTAGE DEB
1716,TITAN 3C TRANSTAGE DEB
1722,TITAN 3C TRANSTAGE DEB
1726,EXPLORER 29 (GEOS 1)
1729,DELTA 1 R/B
1738,EXPLORER 30
1739,SCOUT X-4 R/B
1778,A-1 (ASTERIX)
1804,ALOUETTE 2
1805,DIAMANT R/B
1806,EXPLORER 31 (ISIS-X)
1807,THOR AGENA B R/B
1814,FR 1
1815,SCOUT X-4 R/B
1829,TITAN 3C TRANSTAGE DEB
1833,TITAN 3C TRANSTAGE DEB
1835,TITAN 3C TRANSTAGE DEB
1859,TITAN 3C TRANSTAGE DEB
1864,OPS 1509 (TRANSIT 10)
1865,SCOUT A R/B
1883,TITAN 3C TRANSTAGE DEB
1915,TITAN 3C TRANSTAGE DEB
1931,THOR ALTAIR DEB
1942,THOR ABLESTAR DEB
1943,THOR ABLESTAR DEB
1948,THOR AGENA B DEB
1951,THOR AGENA B DEB
1952,OPS 1593 (TRANSIT 11)
1953,SCOUT A R/B
1959,TITAN 3C TRANSTAGE DEB
1961,TITAN 3C TRANSTAGE DEB
1964,TITAN 3C TRANSTAGE DEB
1982,ESSA 1 (OT-3)
1983,DELTA 1 R/B
2011,SCOUT X-4 DEB
2016,DIAPASON (D1-A)
2017,DIAMANT R/B
2050,TITAN 3C TRANSTAGE DEB
2088,SCOUT X-4 DEB
2091,ESSA 2 (OT-2)
2092,THOR AGENA B DEB
2096,DELTA 1 R/B
2097,TRANSIT 5B-1 DEB
